year,value,source,methodology_flag,provisional_flag
1960,46.858,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1961,46.753,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1962,46.793,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1963,46.79,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1964,46.754,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1965,46.542,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1966,46.261,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1967,45.908,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1968,45.614,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1969,45.098,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1970,44.518,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1971,43.854,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1972,43.039,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1973,42.125,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1974,41.176,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1975,40.06,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1976,39.056,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1977,38.125,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1978,37.383,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1979,36.18,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1980,35.026,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1981,34.344,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1982,33.856,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1983,33.416,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1984,33.072,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1985,32.747,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1986,32.309,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1987,31.376,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1988,30.428,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1989,29.882,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1990,29.42,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1991,29.075,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1992,28.701,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1993,28.277,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1994,27.744,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1995,27.062,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1996,26.417,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1997,25.752,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1998,25.117,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1999,24.64,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2000,24.192,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2001,23.779,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2002,23.379,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2003,22.832,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2004,22.369,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2005,21.912,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2006,21.482,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2007,21.11,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2008,20.82,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2009,20.567,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2010,20.331,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2011,20.095,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2012,19.855,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2013,19.557,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2014,18.959,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2015,18.227,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2016,17.69,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2017,17.214,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2018,17.037,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2019,16.877,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2020,16.565,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2021,16.353,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2022,16.041,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2023,15.706,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2024,15.464,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
