year,value,source,methodology_flag,provisional_flag
2010,11.5771198272705,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2013,12.9674301147461,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2014,12.8495397567749,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2015,13.6109304428101,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2016,13.5079803466797,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2017,13.9968204498291,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2018,14.8643703460693,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2020,16.3360195159912,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2022,15.8689498901367,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2024,17.6840591430664,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
