year,value,source,methodology_flag,provisional_flag
1980,32.1890602111816,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
1990,49.6509284973145,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2000,62.2423286437988,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2002,62.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2003,65.4831495522773,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2004,65.5550689697266,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2005,69.1048583984375,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2006,68.4678192138672,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2007,69.8880081176758,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2008,70.8418502807617,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2009,72.7437133789062,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2010,73.2645568847656,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2011,74.96564474328,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2012,75.7189483642578,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2013,76.9667663574219,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2014,77.6536407470703,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2015,78.0581665039062,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2016,79.1603775024414,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2017,80.6090316772461,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2018,81.837158203125,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2019,82.3497061132243,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2020,82.7016906738281,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2021,83.7101012756632,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2022,82.4372711181641,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2023,85.0688777644676,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2024,84.5808792114258,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2025,85.6845188620774,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
