year,value,source,methodology_flag,provisional_flag
1990,17.6146793365479,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2000,15.1735200881958,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2002,21.5,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2003,17.1182645114203,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2004,19.0862503051758,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2005,24.2976703643799,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2006,28.3331909179688,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2007,28.244779586792,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2008,28.5378303527832,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2009,29.3842506408691,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2010,28.1100196838379,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2011,30.5400787650182,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2012,32.1964797973633,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2013,30.6377296447754,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2014,31.0507907867432,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2015,32.1521186828613,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2016,32.2988395690918,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2017,33.0895004272461,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2018,34.802661895752,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2019,36.077810974983,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2020,37.7149085998535,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2021,38.5226181712849,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2022,38.171501159668,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2023,40.0195622693448,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2024,39.7737197875977,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2025,41.8566988203931,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
