year,value,source,methodology_flag,provisional_flag
1990,33.981,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1991,34.216,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1992,34.988,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1993,35.836,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1994,36.366,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1995,37.613,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1996,37.684,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1997,39.641,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1998,39.316,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1999,38.527,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2000,38.866,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2001,38.229,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2002,38.314,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2003,38.975,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2004,40.098,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2005,41.15,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2006,42.334,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2007,42.718,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2008,42.568,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2009,43.08,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2010,42.946,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2011,43.413,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2012,44.48,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2013,44.48,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2014,43.55,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2015,43.928,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2016,43.988,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2017,43.627,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2018,44.134,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2019,45.573,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2020,41.704,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2021,44.615,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2022,46.004,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2023,47.317,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2024,47.414,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2025,47.45,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
