year,value,source,methodology_flag,provisional_flag
1960,-85591,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1961,-56174,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1962,-59833,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1963,-66515,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1964,-72581,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1965,-78288,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1966,-87018,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1967,-98680,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1968,-116358,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1969,-137051,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1970,-164100,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1971,-185062,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1972,-193965,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1973,-200688,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1974,-207995,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1975,-216556,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1976,-229450,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1977,-239521,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1978,-243714,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1979,-246034,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1980,-252177,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1981,-361791,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1982,-382048,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1983,-402937,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1984,-425467,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1985,-445447,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1986,-451756,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1987,-415521,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1988,-374544,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1989,-386467,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1990,-321764,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1991,-326691,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1992,-344313,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1993,-358039,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1994,-354573,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1995,-340091,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1996,-343399,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1997,-340546,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1998,-321385,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1999,-328773,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2000,-356433,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2001,-378348,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2002,-379812,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2003,-369183,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2004,-346912,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2005,-310278,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2006,-244140,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2007,-105524,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2008,-50347,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2009,-30809,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2010,-40845,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2011,-37826,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2012,-128485,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2013,-120058,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2014,-228816,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2015,-291044,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2016,-304472,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2017,-227499,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2018,-175356,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2019,-169628,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2020,-147456,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2021,-122791,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2022,-108438,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2023,-101044,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2024,-104581,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2025,-108037,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
