year,value,source,methodology_flag,provisional_flag
1960,18361133,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1961,18943958,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1962,19562173,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1963,20208152,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1964,20881602,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1965,21583658,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1966,22312199,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1967,23064578,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1968,23836548,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1969,24620795,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1970,25412202,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1971,26210603,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1972,27019300,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1973,27839319,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1974,28669381,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1975,29505523,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1976,30342786,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1977,31180517,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1978,32023114,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1979,32866764,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1980,33702828,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1981,34538832,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1982,35378903,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1983,36217606,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1984,37054511,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1985,37891290,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1986,38730664,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1987,39574319,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1988,40421903,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1989,41266637,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1990,42111877,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1991,42962984,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1992,43814602,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1993,44664821,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1994,45513846,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1995,46361119,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1996,47200873,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1997,48029166,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1998,48849958,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1999,49664369,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2000,50465710,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2001,51234745,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2002,51975645,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2003,52706226,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2004,53428954,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2005,54151768,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2006,54885582,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2007,55655575,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
