year,value,source,methodology_flag,provisional_flag
1960,36724615,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1961,37890118,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1962,39129200,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1963,40424065,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1964,41772049,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1965,43174477,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1966,44629106,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1967,46129608,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1968,47668303,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1969,49233194,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1970,50814953,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1971,52412558,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1972,54030168,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1973,55667284,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1974,57320149,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1975,58982400,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1976,60645512,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1977,62308493,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1978,63979046,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1979,65648865,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1980,67300334,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1981,68892108,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1982,70433260,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1983,71971240,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1984,73506846,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1985,75043414,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1986,76585637,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1987,78136651,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1988,79695531,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1989,81247182,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1990,82820170,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1991,84430572,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1992,86044809,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1993,87653807,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1994,89259205,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1995,90862455,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1996,92452702,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1997,94021207,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1998,95575245,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1999,97115707,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2000,98625552,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2001,100099099,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2002,101548624,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2003,102978515,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2004,104394131,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2005,105811504,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2006,107253666,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2007,108774360,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2008,110374288,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2009,111999721,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2010,113623895,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2011,115243504,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2012,116818208,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2013,118343573,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2014,119784261,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2015,121072306,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2016,122251351,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2017,123400057,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2018,124573711,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2019,125762982,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2020,126799054,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2021,127648148,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2022,128613117,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2023,129739759,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2024,130861007,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
