year,value,source,methodology_flag,provisional_flag
1960,6.763,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1961,6.777,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1962,6.8,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1963,6.817,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1964,6.833,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1965,6.819,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1966,6.79,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1967,6.753,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1968,6.707,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1969,6.626,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1970,6.529,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1971,6.419,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1972,6.281,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1973,6.121,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1974,5.947,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1975,5.739,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1976,5.543,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1977,5.361,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1978,5.202,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1979,4.964,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1980,4.739,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1981,4.574,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1982,4.425,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1983,4.296,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1984,4.184,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1985,4.087,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1986,3.971,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1987,3.803,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1988,3.64,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1989,3.532,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1990,3.444,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1991,3.363,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1992,3.285,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1993,3.211,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1994,3.132,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1995,3.044,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1996,2.964,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1997,2.886,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
