year,value,source,methodology_flag,provisional_flag
1960,50.7472711505164,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1961,51.5751892125914,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1962,52.4139778655246,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1963,53.2594572601116,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1964,54.1076138245145,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1965,54.9544339868951,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1966,55.7959041754154,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1967,56.6280108182371,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1968,57.4467403435222,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1969,58.2480791794326,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1970,59.0318184929621,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1971,59.8125389741831,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1972,60.5942263978257,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1973,61.3713437656528,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1974,62.1394926875125,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1975,62.8942747732532,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1976,63.631291632723,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1977,64.3461448757704,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1978,65.0344361122434,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1979,65.6917669519904,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1980,66.3141003160443,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1981,66.9107345260143,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1982,67.4917575183002,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1983,68.0559718366415,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1984,68.6024784488432,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1985,69.1303783227099,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1986,69.6387724260466,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1987,70.1267617266581,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1988,70.5934471923493,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1989,71.0379297909249,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1990,71.4590077199915,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1991,71.859396420455,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1992,72.2406081339013,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1993,72.6055064486481,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1994,72.9565584912625,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1995,73.2962313883119,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1996,73.6269922663634,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1997,73.9513082519844,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1998,74.2716464717421,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1999,74.5904740522037,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2000,74.9203113970256,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2001,75.2907557567987,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2002,75.6840752828994,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2003,76.046170340551,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2004,76.3274397419019,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2005,76.4748624380269,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2006,76.4982455683657,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2007,76.5047326234761,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2008,76.5090428271033,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2009,76.5143930040295,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2010,76.5244441414713,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2011,76.5667802279537,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2012,76.6585199140734,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2013,76.7955768077952,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2014,76.9741367091766,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2015,77.1903854182753,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2016,77.4405087351486,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2017,77.7206924598541,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2018,78.0271223924494,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2019,78.355984332992,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2020,78.677960602824,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2021,78.9324007418057,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2022,79.199683215791,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2023,79.4734935748046,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2024,79.7538805976118,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
