country,iso3,indicator_code,short_name,category,file,n_obs,year_min,year_max,lastupdated,url,status
Colombia,COL,SP.DYN.TFRT.IN,tfr,fertility,COL_tfr.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SP.DYN.TFRT.IN?format=json&per_page=400,ok
Argentina,ARG,SP.DYN.TFRT.IN,tfr,fertility,ARG_tfr.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SP.DYN.TFRT.IN?format=json&per_page=400,ok
Chile,CHL,SP.DYN.TFRT.IN,tfr,fertility,CHL_tfr.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SP.DYN.TFRT.IN?format=json&per_page=400,ok
Costa Rica,CRI,SP.DYN.TFRT.IN,tfr,fertility,CRI_tfr.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SP.DYN.TFRT.IN?format=json&per_page=400,ok
Mexico,MEX,SP.DYN.TFRT.IN,tfr,fertility,MEX_tfr.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SP.DYN.TFRT.IN?format=json&per_page=400,ok
Colombia,COL,SP.DYN.CBRT.IN,crude_birth_rate,fertility,COL_crude_birth_rate.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SP.DYN.CBRT.IN?format=json&per_page=400,ok
Argentina,ARG,SP.DYN.CBRT.IN,crude_birth_rate,fertility,ARG_crude_birth_rate.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SP.DYN.CBRT.IN?format=json&per_page=400,ok
Chile,CHL,SP.DYN.CBRT.IN,crude_birth_rate,fertility,CHL_crude_birth_rate.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SP.DYN.CBRT.IN?format=json&per_page=400,ok
Costa Rica,CRI,SP.DYN.CBRT.IN,crude_birth_rate,fertility,CRI_crude_birth_rate.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SP.DYN.CBRT.IN?format=json&per_page=400,ok
Mexico,MEX,SP.DYN.CBRT.IN,crude_birth_rate,fertility,,0,,,,https://api.worldbank.org/v2/country/MEX/indicator/SP.DYN.CBRT.IN?format=json&per_page=400,ERROR: HTTP Error 400: Bad Request
Colombia,COL,SP.POP.TOTL,pop_total,denominator,COL_pop_total.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SP.POP.TOTL?format=json&per_page=400,ok
Argentina,ARG,SP.POP.TOTL,pop_total,denominator,ARG_pop_total.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SP.POP.TOTL?format=json&per_page=400,ok
Chile,CHL,SP.POP.TOTL,pop_total,denominator,CHL_pop_total.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SP.POP.TOTL?format=json&per_page=400,ok
Costa Rica,CRI,SP.POP.TOTL,pop_total,denominator,CRI_pop_total.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SP.POP.TOTL?format=json&per_page=400,ok
Mexico,MEX,SP.POP.TOTL,pop_total,denominator,MEX_pop_total.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SP.POP.TOTL?format=json&per_page=400,ok
Colombia,COL,SP.POP.TOTL.FE.IN,pop_female,denominator,COL_pop_female.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SP.POP.TOTL.FE.IN?format=json&per_page=400,ok
Argentina,ARG,SP.POP.TOTL.FE.IN,pop_female,denominator,,0,,,,https://api.worldbank.org/v2/country/ARG/indicator/SP.POP.TOTL.FE.IN?format=json&per_page=400,ERROR: HTTP Error 400: Bad Request
Chile,CHL,SP.POP.TOTL.FE.IN,pop_female,denominator,CHL_pop_female.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SP.POP.TOTL.FE.IN?format=json&per_page=400,ok
Costa Rica,CRI,SP.POP.TOTL.FE.IN,pop_female,denominator,CRI_pop_female.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SP.POP.TOTL.FE.IN?format=json&per_page=400,ok
Mexico,MEX,SP.POP.TOTL.FE.IN,pop_female,denominator,MEX_pop_female.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SP.POP.TOTL.FE.IN?format=json&per_page=400,ok
Colombia,COL,SM.POP.NETM,net_migration,migration,COL_net_migration.csv,66,1960,2025,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SM.POP.NETM?format=json&per_page=400,ok
Argentina,ARG,SM.POP.NETM,net_migration,migration,ARG_net_migration.csv,66,1960,2025,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SM.POP.NETM?format=json&per_page=400,ok
Chile,CHL,SM.POP.NETM,net_migration,migration,CHL_net_migration.csv,66,1960,2025,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SM.POP.NETM?format=json&per_page=400,ok
Costa Rica,CRI,SM.POP.NETM,net_migration,migration,CRI_net_migration.csv,66,1960,2025,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SM.POP.NETM?format=json&per_page=400,ok
Mexico,MEX,SM.POP.NETM,net_migration,migration,MEX_net_migration.csv,66,1960,2025,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SM.POP.NETM?format=json&per_page=400,ok
Colombia,COL,SP.URB.TOTL.IN.ZS,urban_pct,covariate,COL_urban_pct.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=400,ok
Argentina,ARG,SP.URB.TOTL.IN.ZS,urban_pct,covariate,ARG_urban_pct.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=400,ok
Chile,CHL,SP.URB.TOTL.IN.ZS,urban_pct,covariate,CHL_urban_pct.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=400,ok
Costa Rica,CRI,SP.URB.TOTL.IN.ZS,urban_pct,covariate,CRI_urban_pct.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=400,ok
Mexico,MEX,SP.URB.TOTL.IN.ZS,urban_pct,covariate,MEX_urban_pct.csv,65,1960,2024,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=400,ok
Colombia,COL,SL.TLF.CACT.FE.ZS,female_lfp_pct,covariate,COL_female_lfp_pct.csv,36,1990,2025,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SL.TLF.CACT.FE.ZS?format=json&per_page=400,ok
Argentina,ARG,SL.TLF.CACT.FE.ZS,female_lfp_pct,covariate,ARG_female_lfp_pct.csv,36,1990,2025,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SL.TLF.CACT.FE.ZS?format=json&per_page=400,ok
Chile,CHL,SL.TLF.CACT.FE.ZS,female_lfp_pct,covariate,CHL_female_lfp_pct.csv,36,1990,2025,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SL.TLF.CACT.FE.ZS?format=json&per_page=400,ok
Costa Rica,CRI,SL.TLF.CACT.FE.ZS,female_lfp_pct,covariate,CRI_female_lfp_pct.csv,36,1990,2025,2026-04-08,https://api.worldbank.org/v2/country/CRI/indicator/SL.TLF.CACT.FE.ZS?format=json&per_page=400,ok
Mexico,MEX,SL.TLF.CACT.FE.ZS,female_lfp_pct,covariate,MEX_female_lfp_pct.csv,36,1990,2025,2026-04-08,https://api.worldbank.org/v2/country/MEX/indicator/SL.TLF.CACT.FE.ZS?format=json&per_page=400,ok
Colombia,COL,SL.AGR.EMPL.ZS,agri_emp_pct,covariate,COL_agri_emp_pct.csv,35,1991,2025,2026-04-08,https://api.worldbank.org/v2/country/COL/indicator/SL.AGR.EMPL.ZS?format=json&per_page=400,ok
Argentina,ARG,SL.AGR.EMPL.ZS,agri_emp_pct,covariate,ARG_agri_emp_pct.csv,35,1991,2025,2026-04-08,https://api.worldbank.org/v2/country/ARG/indicator/SL.AGR.EMPL.ZS?format=json&per_page=400,ok
Chile,CHL,SL.AGR.EMPL.ZS,agri_emp_pct,covariate,CHL_agri_emp_pct.csv,35,1991,2025,2026-04-08,https://api.worldbank.org/v2/country/CHL/indicator/SL.AGR.EMPL.ZS?format=json&per_page=400,ok
