year,single,cohabiting,married
2011,0.5519375,0.19737500000000002,0.2506875
2012,0.5285875,0.20427499999999998,0.26713749999999997
2013,0.5048375,0.21265,0.2825125
2014,0.4872375,0.21963749999999999,0.29312499999999997
2015,0.4685125,0.2285375,0.30295
2016,0.45276249999999996,0.23704999999999998,0.31018749999999995
2017,0.4385,0.245125,0.31637499999999996
2018,0.4268,0.2532625,0.3199375
2019,0.415025,0.26251250000000004,0.3224625
2020,0.4065875,0.27213750000000003,0.32127500000000003
2021,0.4017125,0.2786375,0.31965
2022,0.3970625,0.28693749999999996,0.31599999999999995
2023,0.39205,0.2966,0.31135
2024,0.39,0.30605,0.30395
