year,age_band,margin,series,value,sd
2010,20-24,married,sim,0.12436625475723728,0.004397590110564958
2010,20-24,married,obs,0.1244,
2010,20-24,cohab,sim,0.19849864126168704,0.004550790885950605
2010,20-24,cohab,obs,0.199,
2011,20-24,married,sim,0.13237463290479315,0.0036739066659919814
2011,20-24,married,obs,0.0988,
2011,20-24,cohab,sim,0.1974286016310599,0.004701219248912581
2011,20-24,cohab,obs,0.1958,
2012,20-24,married,sim,0.13484773510623838,0.0036847020436704676
2012,20-24,married,obs,0.0898,
2012,20-24,cohab,sim,0.19400938518537952,0.004122872252308327
2012,20-24,cohab,obs,0.1788,
2013,20-24,married,sim,0.13326821066829453,0.0035128866850565837
2013,20-24,married,obs,0.0815,
2013,20-24,cohab,sim,0.1900667276898887,0.0038774444120788245
2013,20-24,cohab,obs,0.1718,
2014,20-24,married,sim,0.12590679165144897,0.003936852961309254
2014,20-24,married,obs,0.0775,
2014,20-24,cohab,sim,0.1852841949264003,0.004625366410976062
2014,20-24,cohab,obs,0.1866,
2015,20-24,married,sim,0.11404744374068337,0.0045915753454842155
2015,20-24,married,obs,0.081,
2015,20-24,cohab,sim,0.18322661965098422,0.003207613301720538
2015,20-24,cohab,obs,0.2084,
2016,20-24,married,sim,0.10259218332074191,0.0031947514903666575
2016,20-24,married,obs,0.0836,
2016,20-24,cohab,sim,0.17691141925169532,0.003780967819621006
2016,20-24,cohab,obs,0.2074,
2017,20-24,married,sim,0.09356515994245798,0.0036515728740227557
2017,20-24,married,obs,0.0659,
2017,20-24,cohab,sim,0.17161492713665022,0.0023395289264872563
2017,20-24,cohab,obs,0.1946,
2018,20-24,married,sim,0.08491862399503014,0.004150852992017217
2018,20-24,married,obs,0.056,
2018,20-24,cohab,sim,0.16867366629485459,0.0036685915972960426
2018,20-24,cohab,obs,0.1961,
2019,20-24,married,sim,0.08026125200765274,0.003061936323299716
2019,20-24,married,obs,0.0496,
2019,20-24,cohab,sim,0.1670846855953329,0.003935956382725659
2019,20-24,cohab,obs,0.1849,
2020,20-24,married,sim,0.07784010304633303,0.0031061980804310482
2020,20-24,married,obs,0.0352,
2020,20-24,cohab,sim,0.1650578255051591,0.005094575885880518
2020,20-24,cohab,obs,0.1949,
2021,20-24,married,sim,0.07769522577186112,0.0032803925732870633
2021,20-24,married,obs,0.0341,
2021,20-24,cohab,sim,0.1638393523093328,0.003972910112304504
2021,20-24,cohab,obs,0.1713,
2022,20-24,married,sim,0.07850530685421044,0.0034764213755659923
2022,20-24,married,obs,0.0287,
2022,20-24,cohab,sim,0.16324083758927285,0.003354110543701981
2022,20-24,cohab,obs,0.1697,
2023,20-24,married,sim,0.07865103458546838,0.0032544102296138237
2023,20-24,married,obs,0.0275,
2023,20-24,cohab,sim,0.1631939959998808,0.005280053415985999
2023,20-24,cohab,obs,0.1648,
2024,20-24,married,sim,0.07810141407717222,0.0034997564179424703
2024,20-24,married,obs,0.0313,
2024,20-24,cohab,sim,0.1628555723428924,0.005466432622439979
2024,20-24,cohab,obs,0.1796,
2010,25-29,married,sim,0.26668707271380293,0.004140757259954101
2010,25-29,married,obs,0.2648,
2010,25-29,cohab,sim,0.24075881712927147,0.006796337140423124
2010,25-29,cohab,obs,0.2417,
2011,25-29,married,sim,0.2508434697018415,0.005708739598926951
2011,25-29,married,obs,0.2417,
2011,25-29,cohab,sim,0.2343978966728616,0.006009627256651385
2011,25-29,cohab,obs,0.2379,
2012,25-29,married,sim,0.2355845934554305,0.005958815962129823
2012,25-29,married,obs,0.2288,
2012,25-29,cohab,sim,0.2296487679058576,0.006243703059506833
2012,25-29,cohab,obs,0.2449,
2013,25-29,married,sim,0.22104695101028593,0.005105214193771701
2013,25-29,married,obs,0.2104,
2013,25-29,cohab,sim,0.2230405507350261,0.00556509359704603
2013,25-29,cohab,obs,0.2509,
2014,25-29,married,sim,0.20606778287192531,0.005532972031165488
2014,25-29,married,obs,0.2207,
2014,25-29,cohab,sim,0.21914592527950813,0.0043528813064226115
2014,25-29,cohab,obs,0.2433,
2015,25-29,married,sim,0.1911883388418898,0.004513756149176484
2015,25-29,married,obs,0.2315,
2015,25-29,cohab,sim,0.21626786000739445,0.00501757621894371
2015,25-29,cohab,obs,0.2635,
2016,25-29,married,sim,0.19681415246531045,0.004243850701684664
2016,25-29,married,obs,0.2098,
2016,25-29,cohab,sim,0.210090766407451,0.003702708373295483
2016,25-29,cohab,obs,0.2607,
2017,25-29,married,sim,0.19699120591828984,0.004778541876089966
2017,25-29,married,obs,0.196,
2017,25-29,cohab,sim,0.20857713652359725,0.004289125475681092
2017,25-29,cohab,obs,0.2559,
2018,25-29,married,sim,0.19530660365196828,0.0040221799861736044
2018,25-29,married,obs,0.1745,
2018,25-29,cohab,sim,0.2057218765455121,0.005288085494252909
2018,25-29,cohab,obs,0.2578,
2019,25-29,married,sim,0.18785355720647604,0.00376835914846119
2019,25-29,married,obs,0.1535,
2019,25-29,cohab,sim,0.20308565187626368,0.005479556188589979
2019,25-29,cohab,obs,0.2659,
2020,25-29,married,sim,0.17704624251373052,0.005178011977323735
2020,25-29,married,obs,0.167,
2020,25-29,cohab,sim,0.2034587214443368,0.005318747617188466
2020,25-29,cohab,obs,0.2507,
2021,25-29,married,sim,0.1666023819099367,0.004645482185481133
2021,25-29,married,obs,0.1522,
2021,25-29,cohab,sim,0.20196667435643353,0.004413863015981227
2021,25-29,cohab,obs,0.2651,
2022,25-29,married,sim,0.15788153170254246,0.0039047251977050767
2022,25-29,married,obs,0.138,
2022,25-29,cohab,sim,0.19991946897390697,0.003761136055335654
2022,25-29,cohab,obs,0.2706,
2023,25-29,married,sim,0.1505861739308231,0.004015364072883686
2023,25-29,married,obs,0.1272,
2023,25-29,cohab,sim,0.19979565951094358,0.004199878257244563
2023,25-29,cohab,obs,0.2639,
2024,25-29,married,sim,0.14640787304690298,0.0031356384882680077
2024,25-29,married,obs,0.1058,
2024,25-29,cohab,sim,0.1976169134509448,0.005038520345469163
2024,25-29,cohab,obs,0.258,
2010,30-34,married,sim,0.4338560413792121,0.006567959594368877
2010,30-34,married,obs,0.4309,
2010,30-34,cohab,sim,0.22913499499091192,0.003336164440886373
2010,30-34,cohab,obs,0.2315,
2011,30-34,married,sim,0.4103668060363809,0.006363879189346966
2011,30-34,married,obs,0.3974,
2011,30-34,cohab,sim,0.2349311766006849,0.004724698676324705
2011,30-34,cohab,obs,0.2179,
2012,30-34,married,sim,0.39047566017088586,0.004409159339306079
2012,30-34,married,obs,0.3769,
2012,30-34,cohab,sim,0.23899933676536742,0.004869233748026109
2012,30-34,cohab,obs,0.2445,
2013,30-34,married,sim,0.3697932030589509,0.004915438778013571
2013,30-34,married,obs,0.3651,
2013,30-34,cohab,sim,0.24495929202949593,0.005738456338707792
2013,30-34,cohab,obs,0.2292,
2014,30-34,married,sim,0.3505884200598301,0.005860910500143822
2014,30-34,married,obs,0.3659,
2014,30-34,cohab,sim,0.25140114869403324,0.005075036649191963
2014,30-34,cohab,obs,0.2496,
2015,30-34,married,sim,0.3320180241123791,0.005660449838096247
2015,30-34,married,obs,0.3726,
2015,30-34,cohab,sim,0.2552230244039059,0.004432630167075193
2015,30-34,cohab,obs,0.2437,
2016,30-34,married,sim,0.3165787150846661,0.005905987610616177
2016,30-34,married,obs,0.3491,
2016,30-34,cohab,sim,0.25003511143099644,0.005446035127457618
2016,30-34,cohab,obs,0.2469,
2017,30-34,married,sim,0.3003711288295685,0.005748096581133612
2017,30-34,married,obs,0.3463,
2017,30-34,cohab,sim,0.24549377293253916,0.00412432787470486
2017,30-34,cohab,obs,0.2569,
2018,30-34,married,sim,0.285121533631774,0.004804356810626714
2018,30-34,married,obs,0.3086,
2018,30-34,cohab,sim,0.2422875538004417,0.0044887023580842105
2018,30-34,cohab,obs,0.246,
2019,30-34,married,sim,0.27075599637809966,0.005206350718998889
2019,30-34,married,obs,0.3002,
2019,30-34,cohab,sim,0.23876722137752446,0.0034918708809306824
2019,30-34,cohab,obs,0.2535,
2020,30-34,married,sim,0.2568214182661643,0.005560686569718925
2020,30-34,married,obs,0.2895,
2020,30-34,cohab,sim,0.23631831953638843,0.003312958685400006
2020,30-34,cohab,obs,0.2557,
2021,30-34,married,sim,0.258355954433172,0.005212948851010755
2021,30-34,married,obs,0.2591,
2021,30-34,cohab,sim,0.22926845720271366,0.004530559245582844
2021,30-34,cohab,obs,0.2651,
2022,30-34,married,sim,0.2577500184008732,0.004931554794308289
2022,30-34,married,obs,0.2417,
2022,30-34,cohab,sim,0.22597362336735888,0.004542266609015263
2022,30-34,cohab,obs,0.2525,
2023,30-34,married,sim,0.25455155686782277,0.006358862024792286
2023,30-34,married,obs,0.2227,
2023,30-34,cohab,sim,0.22201473820217618,0.006089966925033981
2023,30-34,cohab,obs,0.2782,
2024,30-34,married,sim,0.24933538198898217,0.005990255865131322
2024,30-34,married,obs,0.2161,
2024,30-34,cohab,sim,0.21918973414568285,0.006013203837923585
2024,30-34,cohab,obs,0.2478,
2010,35-39,married,sim,0.47499216238207126,0.0066944684501663
2010,35-39,married,obs,0.4768,
2010,35-39,cohab,sim,0.2095517356037541,0.006465934136769504
2010,35-39,cohab,obs,0.2096,
2011,35-39,married,sim,0.47343393936380745,0.006404486825170088
2011,35-39,married,obs,0.4837,
2011,35-39,cohab,sim,0.21887329533214656,0.004623626689433867
2011,35-39,cohab,obs,0.2203,
2012,35-39,married,sim,0.47211476911204403,0.006836891842952876
2012,35-39,married,obs,0.4889,
2012,35-39,cohab,sim,0.22544309821786399,0.003370321696357889
2012,35-39,cohab,obs,0.2068,
2013,35-39,married,sim,0.47210334941050397,0.005591156320955717
2013,35-39,married,obs,0.4387,
2013,35-39,cohab,sim,0.23081179654971432,0.004442904570912374
2013,35-39,cohab,obs,0.2161,
2014,35-39,married,sim,0.4735783782802393,0.005525185479421843
2014,35-39,married,obs,0.4577,
2014,35-39,cohab,sim,0.23515364060255273,0.005426757775151628
2014,35-39,cohab,obs,0.216,
2015,35-39,married,sim,0.47555339095354265,0.005592569260716741
2015,35-39,married,obs,0.4689,
2015,35-39,cohab,sim,0.23754790928593414,0.005338389860637672
2015,35-39,cohab,obs,0.2227,
2016,35-39,married,sim,0.4570449296851176,0.006790187340680339
2016,35-39,married,obs,0.4179,
2016,35-39,cohab,sim,0.24298316416253288,0.005028266046158116
2016,35-39,cohab,obs,0.2372,
2017,35-39,married,sim,0.4416824121044311,0.004788594669250101
2017,35-39,married,obs,0.4229,
2017,35-39,cohab,sim,0.2485565793708152,0.004429804959146216
2017,35-39,cohab,obs,0.2324,
2018,35-39,married,sim,0.4252240406803297,0.006233141712538835
2018,35-39,married,obs,0.4085,
2018,35-39,cohab,sim,0.2546639269871437,0.0045109161477421165
2018,35-39,cohab,obs,0.217,
2019,35-39,married,sim,0.4096195240229144,0.006410747362456266
2019,35-39,married,obs,0.3825,
2019,35-39,cohab,sim,0.25928640501943945,0.004894794329827199
2019,35-39,cohab,obs,0.2396,
2020,35-39,married,sim,0.3942681754284894,0.00659967556110392
2020,35-39,married,obs,0.3793,
2020,35-39,cohab,sim,0.2612097035074429,0.0055009368283872925
2020,35-39,cohab,obs,0.2216,
2021,35-39,married,sim,0.3787532786926099,0.007472096461576387
2021,35-39,married,obs,0.3505,
2021,35-39,cohab,sim,0.25940653203924546,0.005185529366033441
2021,35-39,cohab,obs,0.2373,
2022,35-39,married,sim,0.36250953741165354,0.00571029277740315
2022,35-39,married,obs,0.3603,
2022,35-39,cohab,sim,0.2581158744314518,0.004197880987461786
2022,35-39,cohab,obs,0.2285,
2023,35-39,married,sim,0.3493157362145797,0.006512712117858938
2023,35-39,married,obs,0.3166,
2023,35-39,cohab,sim,0.2576878771192414,0.004495744358107696
2023,35-39,cohab,obs,0.2496,
2024,35-39,married,sim,0.3347499466209441,0.005903085663029889
2024,35-39,married,obs,0.3086,
2024,35-39,cohab,sim,0.2562597282402218,0.0064569515216492315
2024,35-39,cohab,obs,0.258,
