year,norm_on,norm_off
2010,NaN,NaN
2011,1.3430752554399548,1.3915136899430225
2012,1.3124437615438718,1.4008800237847903
2013,1.2934354326896507,1.4449108121166554
2014,1.2497714115774952,1.4723285650257907
2015,1.2324133887272564,1.467673953969359
2016,1.2104219596516057,1.483673579202722
2017,1.1965380277789086,1.489548864658886
2018,1.1677829744269104,1.5087307368697476
2019,1.1439328521695602,1.5111288352857888
2020,1.1136208293777095,1.5281215851974919
2021,1.1050891739525301,1.518871984646915
2022,1.09017630554819,1.5337099704944923
2023,1.064515155935643,1.5372739553979355
2024,1.063851356622444,1.533104279814854
