year,series,value,sd
2010,generated_norm_on,NaN,0.0
2010,generated_norm_off,NaN,
2010,observed,1.83,
2011,generated_norm_on,1.3430752554399548,0.02796348016116254
2011,generated_norm_off,1.3915136899430225,
2011,observed,1.87,
2012,generated_norm_on,1.3124437615438718,0.025988575274108527
2012,generated_norm_off,1.4008800237847903,
2012,observed,1.84,
2013,generated_norm_on,1.2934354326896507,0.022486194133406634
2013,generated_norm_off,1.4449108121166554,
2013,observed,1.76,
2014,generated_norm_on,1.2497714115774952,0.029372861854516957
2014,generated_norm_off,1.4723285650257907,
2014,observed,1.78,
2015,generated_norm_on,1.2324133887272564,0.038819508577218984
2015,generated_norm_off,1.467673953969359,
2015,observed,1.77,
2016,generated_norm_on,1.2104219596516057,0.02441678985637619
2016,generated_norm_off,1.483673579202722,
2016,observed,1.71,
2017,generated_norm_on,1.1965380277789086,0.02795341025450281
2017,generated_norm_off,1.489548864658886,
2017,observed,1.67,
2018,generated_norm_on,1.1677829744269104,0.024046198150211258
2018,generated_norm_off,1.5087307368697476,
2018,observed,1.66,
2019,generated_norm_on,1.1439328521695602,0.0207022684732618
2019,generated_norm_off,1.5111288352857888,
2019,observed,1.56,
2020,generated_norm_on,1.1136208293777095,0.02046554023647586
2020,generated_norm_off,1.5281215851974919,
2020,observed,1.41,
2021,generated_norm_on,1.1050891739525301,0.029645923949360574
2021,generated_norm_off,1.518871984646915,
2021,observed,1.32,
2022,generated_norm_on,1.09017630554819,0.03339497187886637
2022,generated_norm_off,1.5337099704944923,
2022,observed,1.3,
2023,generated_norm_on,1.064515155935643,0.022028392417280263
2023,generated_norm_off,1.5372739553979355,
2023,observed,1.22,
2024,generated_norm_on,1.063851356622444,0.031232729927153327
2024,generated_norm_off,1.533104279814854,
2024,observed,1.12,
