period,effect,second_diff
2007,-0.04122287958906777,
2008,-0.02985508674426844,0.004034587482419701
2009,-0.014452706417049412,-0.013360373660195893
2010,-0.012410699750026276,0.008236517743871727
2011,-0.0021321753391314127,-0.012681708125182028
2012,-0.004535359053418576,0.0038630786750394985
2013,-0.003075464092666241,-0.000163046389943345
2014,-0.0017786155218572513,0.001783806395028181
2015,0.0013020394439799193,-0.00048675084323873815
2016,0.0038959435665783517,0.0024953233022838766
2017,0.00898517099146066,0.0018220611751403179
2018,0.015896459591483288,-0.005002537078353669
2019,0.017805211113152246,0.013146466796885851
2020,0.032860429431707056,-0.026228026306989886
2021,0.02168762144327198,-0.0046464071111708555
2022,0.005868406343666043,0.01652774873671428
2023,0.00657693998077439,-0.012700709016471287
2024,-0.005415235398588549,
