period,effect,second_diff
2007,-0.07813453110633914,
2008,0.030697211392867962,-0.11637298004402019
2009,0.023155973848054866,0.013748667797757946
2010,0.029363404100999715,-0.015068748412741632
2011,0.02050208594120293,0.004764233806645722
2012,0.01640500158805187,-0.001930283507872839
2013,0.01037763372702797,0.00033980795057579963
2014,0.004690073816579867,0.016813283391161307
2015,0.01581579729729307,-0.012488876109639528
2016,0.014452644668366748,-0.006619733118343449
2017,0.0064697589210969755,0.001620275188837051
2018,0.00010714836266425415,0.001156539299571992
2019,-0.005098922896196475,0.002236785386114333
2020,-0.008068208768942872,-0.005804722183616854
2021,-0.016842216825306122,0.010111896828397044
2022,-0.01550432805327233,-0.007854625909379877
2023,-0.022021065190618416,0.0021703415044336243
2024,-0.026367460823530878,
