period,effect,second_diff
2010,-0.008060190496550103,
2011,-0.011186189321421968,0.003446496673780162
2012,-0.01086569147251367,-0.002391666044139767
2013,-0.01293685966774514,0.009208725381957522
2014,-0.005799302481019088,0.0018570174262276754
2015,0.003195272131934639,-0.006099181819761694
2016,0.006090664925126672,-0.006115918590141128
2017,0.0028701391281775778,-0.0022995642606958126
2018,-0.002649950929467329,0.01222583801525591
2019,0.0040557970281436765,-0.007030519061053064
2020,0.003731025924701617,0.0040893984551533535
2021,0.007495653276412911,-0.008309753496523124
2022,0.0029505271316010804,0.013685904087403136
2023,0.012091305074192385,-0.012214283268356952
2024,0.009017799748426737,
