country,year,age_band,resid_married,resid_cohab,resid_union
COL,2007,20-24,0.0,0.0,9.999999999998899e-05
COL,2007,25-29,0.0,0.0,0.0
COL,2007,30-34,0.0,0.0,0.0
COL,2007,35-39,0.0,0.0,0.0
COL,2008,20-24,0.0,0.0,0.0
COL,2008,25-29,0.0,0.0,0.0
COL,2008,30-34,0.0,0.0,9.999999999998899e-05
COL,2008,35-39,0.0,0.0,0.0
COL,2009,20-24,0.0,0.0,0.0
COL,2009,25-29,0.0,0.0,9.999999999998899e-05
COL,2009,30-34,0.0,0.0,0.0
COL,2009,35-39,0.0,0.0,0.00010000000000010001
COL,2010,20-24,0.0,0.0,5.551115123125783e-17
COL,2010,25-29,0.0,0.0,0.0
COL,2010,30-34,0.0,0.0,1.1102230246251565e-16
COL,2010,35-39,0.0,0.0,0.0
COL,2011,20-24,0.0,0.0,0.0
COL,2011,25-29,0.0,0.0,0.0
COL,2011,30-34,0.0,0.0,9.999999999998899e-05
COL,2011,35-39,0.0,0.0,1.1102230246251565e-16
COL,2012,20-24,0.0,0.0,0.0
COL,2012,25-29,0.0,0.0,9.999999999998899e-05
COL,2012,30-34,0.0,0.0,0.0
COL,2012,35-39,0.0,0.0,0.0
COL,2013,20-24,0.0,0.0,9.999999999998899e-05
COL,2013,25-29,0.0,0.0,0.0
COL,2013,30-34,0.0,0.0,0.0
COL,2013,35-39,0.0,0.0,0.00010000000000010001
COL,2014,20-24,0.0,0.0,0.0
COL,2014,25-29,0.0,0.0,0.0
COL,2014,30-34,0.0,0.0,9.999999999998899e-05
COL,2014,35-39,0.0,0.0,0.0
COL,2015,20-24,0.0,0.0,0.0
COL,2015,25-29,0.0,0.0,0.0
COL,2015,30-34,0.0,0.0,1.1102230246251565e-16
COL,2015,35-39,0.0,0.0,9.999999999998899e-05
COL,2016,20-24,0.0,0.0,9.999999999998899e-05
COL,2016,25-29,0.0,0.0,0.0
COL,2016,30-34,0.0,0.0,0.0
COL,2016,35-39,0.0,0.0,0.0
COL,2017,20-24,0.0,0.0,9.999999999998899e-05
COL,2017,25-29,0.0,0.0,0.0
COL,2017,30-34,0.0,0.0,0.0
COL,2017,35-39,0.0,0.0,1.1102230246251565e-16
COL,2018,20-24,0.0,0.0,9.999999999998899e-05
COL,2018,25-29,0.0,0.0,0.0
COL,2018,30-34,0.0,0.0,0.0
COL,2018,35-39,0.0,0.0,1.1102230246251565e-16
COL,2019,20-24,0.0,0.0,0.0
COL,2019,25-29,0.0,0.0,1.1102230246251565e-16
COL,2019,30-34,0.0,0.0,1.1102230246251565e-16
COL,2019,35-39,0.0,0.0,0.0
COL,2020,20-24,0.0,0.0,0.0
COL,2020,25-29,0.0,0.0,0.0
COL,2020,30-34,0.0,0.0,1.1102230246251565e-16
COL,2020,35-39,0.0,0.0,0.0
COL,2021,20-24,0.0,0.0,0.0
COL,2021,25-29,0.0,0.0,0.0
COL,2021,30-34,0.0,0.0,1.1102230246251565e-16
COL,2021,35-39,0.0,0.0,0.0
COL,2022,20-24,0.0,0.0,9.999999999998899e-05
COL,2022,25-29,0.0,0.0,0.0
COL,2022,30-34,0.0,0.0,0.0
COL,2022,35-39,0.0,0.0,9.999999999998899e-05
COL,2023,20-24,0.0,0.0,9.999999999998899e-05
COL,2023,25-29,0.0,0.0,1.1102230246251565e-16
COL,2023,30-34,0.0,0.0,0.0
COL,2023,35-39,0.0,0.0,0.0
COL,2024,20-24,0.0,0.0,9.999999999998899e-05
COL,2024,25-29,0.0,0.0,0.0
COL,2024,30-34,0.0,0.0,0.00010000000000010001
COL,2024,35-39,0.0,0.0,9.999999999998899e-05
