country,year,age_band,resid_married,resid_cohab,resid_union
CRI,2010,20-24,0.0,0.0,0.0001000000000000445
CRI,2010,25-29,0.0,0.0,0.0
CRI,2010,30-34,0.0,0.0,0.0
CRI,2010,35-39,0.0,0.0,0.0
CRI,2011,20-24,0.0,0.0,9.999999999998899e-05
CRI,2011,25-29,0.0,0.0,9.999999999998899e-05
CRI,2011,30-34,0.0,0.0,0.0
CRI,2011,35-39,0.0,0.0,0.0
CRI,2012,20-24,0.0,0.0,9.999999999998899e-05
CRI,2012,25-29,0.0,0.0,9.999999999998899e-05
CRI,2012,30-34,0.0,0.0,0.0
CRI,2012,35-39,0.0,0.0,9.999999999998899e-05
CRI,2013,20-24,0.0,0.0,0.0
CRI,2013,25-29,0.0,0.0,5.551115123125783e-17
CRI,2013,30-34,0.0,0.0,1.1102230246251565e-16
CRI,2013,35-39,0.0,0.0,1.1102230246251565e-16
CRI,2014,20-24,0.0,0.0,0.0
CRI,2014,25-29,0.0,0.0,5.551115123125783e-17
CRI,2014,30-34,0.0,0.0,1.1102230246251565e-16
CRI,2014,35-39,0.0,0.0,0.0
CRI,2015,20-24,0.0,0.0,9.999999999998899e-05
CRI,2015,25-29,0.0,0.0,0.0
CRI,2015,30-34,0.0,0.0,0.0
CRI,2015,35-39,0.0,0.0,9.999999999998899e-05
CRI,2016,20-24,0.0,0.0,9.999999999998899e-05
CRI,2016,25-29,0.0,0.0,0.0001000000000000445
CRI,2016,30-34,0.0,0.0,1.1102230246251565e-16
CRI,2016,35-39,0.0,0.0,0.0
CRI,2017,20-24,0.0,0.0,0.0
CRI,2017,25-29,0.0,0.0,0.0
CRI,2017,30-34,0.0,0.0,0.0
CRI,2017,35-39,0.0,0.0,0.0
CRI,2018,20-24,0.0,0.0,0.0
CRI,2018,25-29,0.0,0.0,5.551115123125783e-17
CRI,2018,30-34,0.0,0.0,0.0
CRI,2018,35-39,0.0,0.0,0.0
CRI,2019,20-24,0.0,0.0,0.00010000000000001674
CRI,2019,25-29,0.0,0.0,0.0
CRI,2019,30-34,0.0,0.0,1.1102230246251565e-16
CRI,2019,35-39,0.0,0.0,0.0
CRI,2020,20-24,0.0,0.0,0.0
CRI,2020,25-29,0.0,0.0,5.551115123125783e-17
CRI,2020,30-34,0.0,0.0,1.1102230246251565e-16
CRI,2020,35-39,0.0,0.0,0.0
CRI,2021,20-24,0.0,0.0,0.0
CRI,2021,25-29,0.0,0.0,9.999999999998899e-05
CRI,2021,30-34,0.0,0.0,9.999999999998899e-05
CRI,2021,35-39,0.0,0.0,0.0
CRI,2022,20-24,0.0,0.0,0.0
CRI,2022,25-29,0.0,0.0,0.0
CRI,2022,30-34,0.0,0.0,0.0
CRI,2022,35-39,0.0,0.0,0.0
CRI,2023,20-24,0.0,0.0,0.0
CRI,2023,25-29,0.0,0.0,0.0
CRI,2023,30-34,0.0,0.0,0.0
CRI,2023,35-39,0.0,0.0,0.0
CRI,2024,20-24,0.0,0.0,0.0
CRI,2024,25-29,0.0,0.0,9.999999999998899e-05
CRI,2024,30-34,0.0,0.0,0.0
CRI,2024,35-39,0.0,0.0,9.999999999998899e-05
