country,birth_cohort,cohort_start,age_band,year,share_single,share_cohab,share_married,n_women_weighted
CRI,1985-1989,1985,20-24,2010,0.6766,0.199,0.1244,221864
CRI,1980-1984,1980,25-29,2010,0.4935,0.2417,0.2648,187788
CRI,1975-1979,1975,30-34,2010,0.33759999999999996,0.2315,0.4309,170201
CRI,1970-1974,1970,35-39,2010,0.3136,0.2096,0.4768,149926
CRI,1985-1989,1985,20-24,2011,0.7054,0.1958,0.0988,219940
CRI,1980-1984,1980,25-29,2011,0.5204,0.2379,0.2417,200350
CRI,1975-1979,1975,30-34,2011,0.38470000000000004,0.2179,0.3974,176964
CRI,1970-1974,1970,35-39,2011,0.29600000000000004,0.2203,0.4837,152598
CRI,1990-1994,1990,20-24,2012,0.7314,0.1788,0.0898,218673
CRI,1985-1989,1985,25-29,2012,0.5263,0.2449,0.2288,200947
CRI,1980-1984,1980,30-34,2012,0.37860000000000005,0.2445,0.3769,173953
CRI,1975-1979,1975,35-39,2012,0.3043,0.2068,0.4889,160616
CRI,1990-1994,1990,20-24,2013,0.7467,0.1718,0.0815,217115
CRI,1985-1989,1985,25-29,2013,0.5387,0.2509,0.2104,196086
CRI,1980-1984,1980,30-34,2013,0.40570000000000006,0.2292,0.3651,179626
CRI,1975-1979,1975,35-39,2013,0.34520000000000006,0.2161,0.4387,155880
CRI,1990-1994,1990,20-24,2014,0.7359,0.1866,0.0775,209384
CRI,1985-1989,1985,25-29,2014,0.536,0.2433,0.2207,206104
CRI,1980-1984,1980,30-34,2014,0.38449999999999995,0.2496,0.3659,179189
CRI,1975-1979,1975,35-39,2014,0.32630000000000003,0.216,0.4577,167420
CRI,1990-1994,1990,20-24,2015,0.7106,0.2084,0.081,218629
CRI,1985-1989,1985,25-29,2015,0.5049999999999999,0.2635,0.2315,206653
CRI,1980-1984,1980,30-34,2015,0.3837,0.2437,0.3726,190794
CRI,1975-1979,1975,35-39,2015,0.3084,0.2227,0.4689,174294
CRI,1990-1994,1990,20-24,2016,0.709,0.2074,0.0836,216628
CRI,1985-1989,1985,25-29,2016,0.5295000000000001,0.2607,0.2098,209362
CRI,1980-1984,1980,30-34,2016,0.40399999999999997,0.2469,0.3491,193834
CRI,1975-1979,1975,35-39,2016,0.34490000000000004,0.2372,0.4179,171222
CRI,1995-1999,1995,20-24,2017,0.7395,0.1946,0.0659,205588
CRI,1990-1994,1990,25-29,2017,0.5481,0.2559,0.196,198789
CRI,1985-1989,1985,30-34,2017,0.3968,0.2569,0.3463,197185
CRI,1980-1984,1980,35-39,2017,0.34470000000000006,0.2324,0.4229,174851
CRI,1995-1999,1995,20-24,2018,0.7479,0.1961,0.056,206406
CRI,1990-1994,1990,25-29,2018,0.5677,0.2578,0.1745,194441
CRI,1985-1989,1985,30-34,2018,0.4454,0.246,0.3086,201173
CRI,1980-1984,1980,35-39,2018,0.37450000000000006,0.217,0.4085,190530
CRI,1995-1999,1995,20-24,2019,0.7655,0.1849,0.0496,192566
CRI,1990-1994,1990,25-29,2019,0.5806,0.2659,0.1535,194886
CRI,1985-1989,1985,30-34,2019,0.4462999999999999,0.2535,0.3002,204408
CRI,1980-1984,1980,35-39,2019,0.37789999999999996,0.2396,0.3825,194507
CRI,1995-1999,1995,20-24,2020,0.7699,0.1949,0.0352,188375
CRI,1990-1994,1990,25-29,2020,0.5823,0.2507,0.167,170396
CRI,1985-1989,1985,30-34,2020,0.4548,0.2557,0.2895,204572
CRI,1980-1984,1980,35-39,2020,0.39909999999999995,0.2216,0.3793,197816
CRI,1995-1999,1995,20-24,2021,0.7946,0.1713,0.0341,206672
CRI,1990-1994,1990,25-29,2021,0.5827,0.2651,0.1522,181842
CRI,1985-1989,1985,30-34,2021,0.4758,0.2651,0.2591,186317
CRI,1980-1984,1980,35-39,2021,0.41219999999999996,0.2373,0.3505,199074
CRI,2000-2004,2000,20-24,2022,0.8016000000000001,0.1697,0.0287,200074
CRI,1995-1999,1995,25-29,2022,0.5914,0.2706,0.138,178963
CRI,1990-1994,1990,30-34,2022,0.5058,0.2525,0.2417,179884
CRI,1985-1989,1985,35-39,2022,0.41119999999999995,0.2285,0.3603,213451
CRI,2000-2004,2000,20-24,2023,0.8077,0.1648,0.0275,187687
CRI,1995-1999,1995,25-29,2023,0.6089,0.2639,0.1272,184573
CRI,1990-1994,1990,30-34,2023,0.4991,0.2782,0.2227,177728
CRI,1985-1989,1985,35-39,2023,0.43379999999999996,0.2496,0.3166,207473
CRI,2000-2004,2000,20-24,2024,0.7891,0.1796,0.0313,194607
CRI,1995-1999,1995,25-29,2024,0.6362,0.258,0.1058,182285
CRI,1990-1994,1990,30-34,2024,0.5361,0.2478,0.2161,187751
CRI,1985-1989,1985,35-39,2024,0.4334,0.258,0.3086,193309
