country,birth_cohort,cohort_start,age_band,year,share_single,share_cohab,share_married,n_women_weighted
MEX,1980-1984,1980,20-24,2005,0.5843,0.1494,0.2663,4638458
MEX,1975-1979,1975,25-29,2005,0.3658,0.1613,0.4729,4132888
MEX,1970-1974,1970,30-34,2005,0.25470000000000004,0.1452,0.6001,4252988
MEX,1965-1969,1965,35-39,2005,0.22350000000000003,0.1273,0.6492,3883098
MEX,1985-1989,1985,20-24,2008,0.5897,0.1774,0.2329,4799074
MEX,1980-1984,1980,25-29,2008,0.36769999999999997,0.1923,0.44,4282130
MEX,1975-1979,1975,30-34,2008,0.25959999999999994,0.1711,0.5693,4248911
MEX,1970-1974,1970,35-39,2008,0.2351000000000001,0.1557,0.6092,4229184
MEX,1985-1989,1985,20-24,2010,0.5969,0.191,0.2121,4908356
MEX,1980-1984,1980,25-29,2010,0.3835,0.2069,0.4096,4398510
MEX,1975-1979,1975,30-34,2010,0.27770000000000006,0.1775,0.5448,4258256
MEX,1970-1974,1970,35-39,2010,0.24429999999999996,0.1612,0.5945,4287301
MEX,1990-1994,1990,20-24,2013,0.6007,0.2093,0.19,5113423
MEX,1985-1989,1985,25-29,2013,0.39609999999999995,0.2336,0.3703,4446011
MEX,1980-1984,1980,30-34,2013,0.2922,0.2209,0.4869,4314309
MEX,1975-1979,1975,35-39,2013,0.24980000000000002,0.1815,0.5687,4467741
MEX,1990-1994,1990,20-24,2015,0.5941000000000001,0.2243,0.1816,5049565
MEX,1985-1989,1985,25-29,2015,0.3989,0.2578,0.3433,4540317
MEX,1980-1984,1980,30-34,2015,0.29159999999999997,0.2227,0.4857,4530698
MEX,1975-1979,1975,35-39,2015,0.24949999999999994,0.1882,0.5623,4492802
MEX,1995-1999,1995,20-24,2017,0.5984,0.2412,0.1604,5091430
MEX,1990-1994,1990,25-29,2017,0.40370000000000006,0.2728,0.3235,4716492
MEX,1985-1989,1985,30-34,2017,0.30460000000000004,0.2464,0.449,4584467
MEX,1980-1984,1980,35-39,2017,0.25659999999999994,0.2064,0.537,4499538
MEX,1995-1999,1995,20-24,2019,0.6123999999999999,0.2408,0.1468,5206019
MEX,1990-1994,1990,25-29,2019,0.41639999999999994,0.2857,0.2979,4831968
MEX,1985-1989,1985,30-34,2019,0.3109,0.2531,0.436,4539173
MEX,1980-1984,1980,35-39,2019,0.26770000000000005,0.2148,0.5175,4518883
MEX,2000-2004,2000,20-24,2023,0.6770999999999999,0.2335,0.0894,5315238
MEX,1995-1999,1995,25-29,2023,0.4508,0.3145,0.2347,4882793
MEX,1990-1994,1990,30-34,2023,0.3516,0.3004,0.348,4938007
MEX,1985-1989,1985,35-39,2023,0.2930000000000001,0.2668,0.4402,4591173
MEX,2000-2004,2000,20-24,2024,0.6885,0.2262,0.0853,5353968
MEX,1995-1999,1995,25-29,2024,0.47350000000000003,0.3029,0.2236,4855374
MEX,1990-1994,1990,30-34,2024,0.3504,0.3035,0.3461,4956254
MEX,1985-1989,1985,35-39,2024,0.2987,0.2645,0.4368,4727081
