dim,share,index,second_diff
period,married,2007,
period,married,2008,-0.1163729800440201
period,married,2009,0.0137486677977579
period,married,2010,-0.0150687484127416
period,married,2011,0.0047642338066457
period,married,2012,-0.0019302835078728
period,married,2013,0.0003398079505757
period,married,2014,0.0168132833911613
period,married,2015,-0.0124888761096395
period,married,2016,-0.0066197331183434
period,married,2017,0.001620275188837
period,married,2018,0.0011565392995719
period,married,2019,0.0022367853861143
period,married,2020,-0.0058047221836168
period,married,2021,0.010111896828397
period,married,2022,-0.0078546259093798
period,married,2023,0.0021703415044336
period,married,2024,
period,cohab,2007,
period,cohab,2008,0.0040048195192744
period,cohab,2009,-0.025777179541325
period,cohab,2010,0.02072775046537
period,cohab,2011,-0.0053095898802813
period,cohab,2012,-0.0035477626866141
period,cohab,2013,-0.0001949227191824
period,cohab,2014,-0.0055683768350382
period,cohab,2015,0.0069081908173161
period,cohab,2016,0.0048098148409258
period,cohab,2017,-0.0005084399972274
period,cohab,2018,-0.004994429559332
period,cohab,2019,0.0121491193902455
period,cohab,2020,-0.0250613227611252
period,cohab,2021,-0.0103408953167585
period,cohab,2022,0.0220985543399276
period,cohab,2023,-0.0126705998512651
period,cohab,2024,
cohort,married,1970,
cohort,married,1975,-0.0046415519692334
cohort,married,1980,-0.008938868681127
cohort,married,1985,-0.0093536965649432
cohort,married,1990,0.014079634523643
cohort,married,1995,0.0138441178142734
cohort,married,2000,
cohort,cohab,1970,
cohort,cohab,1975,-0.0163584943035554
cohort,cohab,1980,0.011434954457328
cohort,cohab,1985,-0.0057609683681843
cohort,cohab,1990,-0.0094253606316231
cohort,cohab,1995,-0.0191912131499276
cohort,cohab,2000,
