dim,share,index,second_diff
period,married,2010,
period,married,2011,0.0105244838082044
period,married,2012,-0.0109887721792534
period,married,2013,0.0263228421085771
period,married,2014,0.0387528398864489
period,married,2015,-0.0662253062225349
period,married,2016,0.0137625476957291
period,married,2017,-0.0129350344934068
period,married,2018,0.0054706861443233
period,married,2019,0.0391928072465185
period,married,2020,-0.0429443226703737
period,married,2021,0.0132516312927185
period,married,2022,-0.0133909799902525
period,married,2023,0.0115700095366272
period,married,2024,
period,cohab,2010,
period,cohab,2011,0.0034464966737801
period,cohab,2012,-0.0023916660441397
period,cohab,2013,0.0092087253819575
period,cohab,2014,0.0018570174262276
period,cohab,2015,-0.0060991818197616
period,cohab,2016,-0.0061159185901411
period,cohab,2017,-0.0022995642606958
period,cohab,2018,0.0122258380152559
period,cohab,2019,-0.007030519061053
period,cohab,2020,0.0040893984551533
period,cohab,2021,-0.0083097534965231
period,cohab,2022,0.0136859040874031
period,cohab,2023,-0.0122142832683569
period,cohab,2024,
cohort,married,1975,
cohort,married,1980,-0.0049975143256977
cohort,married,1985,0.0024788458259604
cohort,married,1990,0.0257088193783202
cohort,married,1995,0.01703736288629
cohort,married,2000,
cohort,cohab,1975,
cohort,cohab,1980,-0.0002910974198149
cohort,cohab,1985,0.0007239536460378
cohort,cohab,1990,-0.0064992748485738
cohort,cohab,1995,-0.0242368926640095
cohort,cohab,2000,
