age_band,year,second_diff,n_women_weighted
20-24,2007,,23045366
20-24,2008,0.005799999999999972,22715255
20-24,2009,-0.005099999999999993,22605551
20-24,2010,-0.0019000000000000128,22963555
20-24,2011,0.0006999999999999784,23240230
20-24,2012,-0.0043999999999999595,23648312
20-24,2013,-0.0020999999999999908,23879998
20-24,2014,0.008399999999999963,24645480
20-24,2015,-0.009199999999999986,24999655
20-24,2016,-0.00019999999999997797,25514274
20-24,2017,0.00709999999999994,25846823
20-24,2018,0.00390000000000007,26133845
20-24,2019,0.0031999999999999806,26242097
20-24,2020,-0.028600000000000014,16723788
20-24,2021,-0.018699999999999994,26118754
20-24,2022,0.03859999999999997,24927381
20-24,2023,-0.026799999999999935,24539532
20-24,2024,,23887816
25-29,2007,,20083155
25-29,2008,-0.00539999999999996,20127138
25-29,2009,-0.006300000000000028,20653334
25-29,2010,0.014100000000000057,20861548
25-29,2011,-0.02080000000000004,20930460
25-29,2012,0.007599999999999996,21437579
25-29,2013,-0.0021999999999999797,21649741
25-29,2014,0.0016999999999999793,21902948
25-29,2015,-0.005500000000000005,22048785
25-29,2016,0.015900000000000025,22425345
25-29,2017,-0.006500000000000006,23273107
25-29,2018,-0.01050000000000001,23712975
25-29,2019,0.021199999999999997,24295727
25-29,2020,-0.031799999999999995,15947298
25-29,2021,-0.0040999999999999925,24307922
25-29,2022,0.013999999999999957,24439298
25-29,2023,-0.009599999999999942,24270384
25-29,2024,,24026685
30-34,2007,,18149625
30-34,2008,0.004699999999999982,18253554
30-34,2009,-0.02260000000000001,18954380
30-34,2010,0.02040000000000003,19443562
30-34,2011,-0.01090000000000002,20058902
30-34,2012,-0.0008999999999999564,20365857
30-34,2013,-0.00040000000000006697,21407848
30-34,2014,0.0037000000000000366,21286642
30-34,2015,-0.0006999999999999784,21527655
30-34,2016,0.008999999999999952,21750003
30-34,2017,0.003300000000000025,21767330
30-34,2018,-0.026000000000000023,22130743
30-34,2019,0.030400000000000038,22423915
30-34,2020,-0.03369999999999995,14950195
30-34,2021,-0.011300000000000032,22793392
30-34,2022,0.03300000000000003,23646558
30-34,2023,-0.02210000000000001,24243291
30-34,2024,,24465103
35-39,2007,,18412954
35-39,2008,0.011299999999999977,18623791
35-39,2009,-0.021600000000000008,18466774
35-39,2010,0.0015000000000000013,18416243
35-39,2011,0.01090000000000002,18423374
35-39,2012,-0.01820000000000005,18419514
35-39,2013,0.0047000000000000375,18443941
35-39,2014,-0.008500000000000008,19274920
35-39,2015,0.016500000000000015,19660979
35-39,2016,-0.005699999999999983,20167077
35-39,2017,-0.007400000000000018,20700687
35-39,2018,0.012399999999999967,20905892
35-39,2019,-0.0018999999999999573,21134953
35-39,2020,-0.009200000000000041,14189987
35-39,2021,-0.005599999999999994,21010911
35-39,2022,5.551115123125783e-17,22898482
35-39,2023,0.008299999999999974,23117034
35-39,2024,,23706176
