age_band,year,second_diff,n_women_weighted
20-24,2007,,23045366
20-24,2008,-0.022699999999999998,22715255
20-24,2009,-0.003600000000000006,22605551
20-24,2010,0.009599999999999997,22963555
20-24,2011,-0.009299999999999989,23240230
20-24,2012,0.006999999999999992,23648312
20-24,2013,-0.005199999999999996,23879998
20-24,2014,-0.0006999999999999923,24645480
20-24,2015,0.0068000000000000005,24999655
20-24,2016,-0.00020000000000000573,25514274
20-24,2017,-0.006699999999999991,25846823
20-24,2018,-0.004600000000000007,26133845
20-24,2019,0.0058,26242097
20-24,2020,0.0014000000000000054,16723788
20-24,2021,-0.00010000000000000286,26118754
20-24,2022,0.003900000000000004,24927381
20-24,2023,0.0003999999999999976,24539532
20-24,2024,,23887816
25-29,2007,,20083155
25-29,2008,-0.08920000000000003,20127138
25-29,2009,-0.013599999999999973,20653334
25-29,2010,0.004599999999999993,20861548
25-29,2011,0.010300000000000004,20930460
25-29,2012,-0.016699999999999993,21437579
25-29,2013,0.012799999999999978,21649741
25-29,2014,-0.005599999999999966,21902948
25-29,2015,0.005199999999999955,22048785
25-29,2016,-0.009799999999999975,22425345
25-29,2017,0.004500000000000004,23273107
25-29,2018,0.0,23712975
25-29,2019,-0.006599999999999995,24295727
25-29,2020,0.0076000000000000095,15947298
25-29,2021,0.0059999999999999915,24307922
25-29,2022,-0.0102,24439298
25-29,2023,0.009900000000000006,24270384
25-29,2024,,24026685
30-34,2007,,18149625
30-34,2008,-0.1679,18253554
30-34,2009,0.013900000000000023,18954380
30-34,2010,-0.01720000000000005,19443562
30-34,2011,0.007199999999999984,20058902
30-34,2012,0.008200000000000013,20365857
30-34,2013,-0.010000000000000009,21407848
30-34,2014,0.005800000000000027,21286642
30-34,2015,0.005899999999999961,21527655
30-34,2016,-0.016599999999999976,21750003
30-34,2017,0.008300000000000002,21767330
30-34,2018,0.0068000000000000005,22130743
30-34,2019,-0.022900000000000004,22423915
30-34,2020,0.004599999999999993,14950195
30-34,2021,0.029100000000000015,22793392
30-34,2022,-0.024300000000000016,23646558
30-34,2023,0.008000000000000007,24243291
30-34,2024,,24465103
35-39,2007,,18412954
35-39,2008,-0.21159999999999995,18623791
35-39,2009,0.011399999999999966,18466774
35-39,2010,-0.011099999999999943,18416243
35-39,2011,0.013699999999999934,18423374
35-39,2012,-0.007699999999999985,18419514
35-39,2013,0.0048000000000000265,18443941
35-39,2014,0.013399999999999967,19274920
35-39,2015,-0.014099999999999946,19660979
35-39,2016,-0.000500000000000056,20167077
35-39,2017,0.0018000000000000238,20700687
35-39,2018,0.003699999999999981,20905892
35-39,2019,-0.013900000000000023,21134953
35-39,2020,0.007700000000000012,14189987
35-39,2021,0.0063,21010911
35-39,2022,-0.0010999999999999899,22898482
35-39,2023,-0.009600000000000025,23117034
35-39,2024,,23706176
