age_band,year,second_diff,n_women_weighted
20-24,2010,,221864
20-24,2011,-0.013800000000000007,219940
20-24,2012,0.010000000000000037,218673
20-24,2013,0.02179999999999996,217115
20-24,2014,0.007000000000000034,209384
20-24,2015,-0.022800000000000015,218629
20-24,2016,-0.011800000000000005,216628
20-24,2017,0.014300000000000007,205588
20-24,2018,-0.012699999999999989,206406
20-24,2019,0.02119999999999997,192566
20-24,2020,-0.03359999999999996,188375
20-24,2021,0.021999999999999964,206672
20-24,2022,-0.0032999999999999696,200074
20-24,2023,0.019699999999999995,187687
20-24,2024,,194607
25-29,2010,,187788
25-29,2011,0.010800000000000004,200350
25-29,2012,-0.0010000000000000009,200947
25-29,2013,-0.013600000000000056,196086
25-29,2014,0.027800000000000047,206104
25-29,2015,-0.023000000000000048,206653
25-29,2016,-0.0019999999999999463,209362
25-29,2017,0.006699999999999928,198789
25-29,2018,0.006200000000000094,194441
25-29,2019,-0.0233000000000001,194886
25-29,2020,0.02960000000000007,170396
25-29,2021,-0.008900000000000019,181842
25-29,2022,-0.012199999999999989,178963
25-29,2023,0.0007999999999999674,184573
25-29,2024,,182285
30-34,2010,,170201
30-34,2011,0.040199999999999986,176964
30-34,2012,-0.04190000000000002,173953
30-34,2013,0.03570000000000001,179626
30-34,2014,-0.026299999999999962,179189
30-34,2015,0.009099999999999997,190794
30-34,2016,0.0068000000000000005,193834
30-34,2017,-0.02090000000000003,197185
30-34,2018,0.018400000000000027,201173
30-34,2019,-0.005300000000000027,204408
30-34,2020,0.00720000000000004,204572
30-34,2021,-0.02200000000000002,186317
30-34,2022,0.0383,179884
30-34,2023,-0.05609999999999998,177728
30-34,2024,,187751
35-39,2010,,149926
35-39,2011,-0.02419999999999997,152598
35-39,2012,0.02279999999999996,160616
35-39,2013,-0.009399999999999964,155880
35-39,2014,0.0068000000000000005,167420
35-39,2015,0.007799999999999974,174294
35-39,2016,-0.019299999999999984,171222
35-39,2017,-0.010599999999999998,174851
35-39,2018,0.038000000000000006,190530
35-39,2019,-0.04060000000000005,194507
35-39,2020,0.033700000000000035,197816
35-39,2021,-0.024500000000000022,199074
35-39,2022,0.029899999999999982,213451
35-39,2023,-0.012699999999999961,207473
35-39,2024,,193309
