age_band,year,second_diff,n_women_weighted
20-24,2010,,221864
20-24,2011,0.016600000000000004,219940
20-24,2012,0.0006999999999999923,218673
20-24,2013,0.004299999999999998,217115
20-24,2014,0.007500000000000007,209384
20-24,2015,-0.0009000000000000119,218629
20-24,2016,-0.020299999999999985,216628
20-24,2017,0.0077999999999999875,205588
20-24,2018,0.003499999999999996,206406
20-24,2019,-0.008,192566
20-24,2020,0.013299999999999992,188375
20-24,2021,-0.004299999999999991,206672
20-24,2022,0.004199999999999999,200074
20-24,2023,0.005000000000000001,187687
20-24,2024,,194607
25-29,2010,,187788
25-29,2011,0.010199999999999987,200350
25-29,2012,-0.005500000000000005,200947
25-29,2013,0.028700000000000003,196086
25-29,2014,0.0005000000000000004,206104
25-29,2015,-0.03250000000000003,206653
25-29,2016,0.007900000000000046,209362
25-29,2017,-0.00770000000000004,198789
25-29,2018,0.0005000000000000282,194441
25-29,2019,0.0345,194886
25-29,2020,-0.02830000000000002,170396
25-29,2021,0.0006000000000000172,181842
25-29,2022,0.0033999999999999864,178963
25-29,2023,-0.010599999999999998,184573
25-29,2024,,182285
30-34,2010,,170201
30-34,2011,0.013000000000000067,176964
30-34,2012,0.00869999999999993,173953
30-34,2013,0.012600000000000056,179626
30-34,2014,0.005899999999999961,179189
30-34,2015,-0.03019999999999995,190794
30-34,2016,0.02069999999999994,193834
30-34,2017,-0.03489999999999999,197185
30-34,2018,0.029300000000000048,201173
30-34,2019,-0.0023000000000000798,204408
30-34,2020,-0.01969999999999994,204572
30-34,2021,0.013000000000000012,186317
30-34,2022,-0.0015999999999999903,179884
30-34,2023,0.012399999999999967,177728
30-34,2024,,187751
35-39,2010,,149926
35-39,2011,-0.0017000000000000348,152598
35-39,2012,-0.055400000000000005,160616
35-39,2013,0.06920000000000004,155880
35-39,2014,-0.007800000000000029,167420
35-39,2015,-0.06220000000000003,174294
35-39,2016,0.055999999999999994,171222
35-39,2017,-0.01940000000000003,174851
35-39,2018,-0.011599999999999944,190530
35-39,2019,0.022799999999999987,194507
35-39,2020,-0.025600000000000067,197816
35-39,2021,0.03860000000000008,199074
35-39,2022,-0.05350000000000005,213451
35-39,2023,0.03570000000000001,207473
35-39,2024,,193309
