age_band,year,second_diff,n_women_weighted
20-24,2005,,4638458
20-24,2008,-0.014399999999999996,4799074
20-24,2010,0.00470000000000001,4908356
20-24,2013,-0.003300000000000025,5113423
20-24,2015,0.0019000000000000128,5049565
20-24,2017,-0.01730000000000001,5091430
20-24,2019,-0.006899999999999962,5206019
20-24,2023,-2.7755575615628914e-17,5315238
20-24,2024,,5353968
25-29,2005,,4132888
25-29,2008,-0.016399999999999998,4282130
25-29,2010,0.0121,4398510
25-29,2013,-0.00250000000000003,4446011
25-29,2015,-0.009199999999999958,4540317
25-29,2017,-0.0020999999999999908,4716492
25-29,2019,0.01589999999999997,4831968
25-29,2023,-0.04039999999999999,4882793
25-29,2024,,4855374
30-34,2005,,4252988
30-34,2008,-0.019500000000000017,4248911
30-34,2010,0.03700000000000003,4258256
30-34,2013,-0.041600000000000026,4314309
30-34,2015,0.021900000000000003,4530698
30-34,2017,-0.017000000000000015,4584467
30-34,2019,0.040600000000000025,4539173
30-34,2023,-0.04420000000000002,4938007
30-34,2024,,4956254
35-39,2005,,3883098
35-39,2008,-0.022900000000000004,4229184
35-39,2010,0.01479999999999998,4287301
35-39,2013,-0.013599999999999973,4467741
35-39,2015,0.011499999999999982,4492802
35-39,2017,-0.009800000000000003,4499538
35-39,2019,0.0436,4518883
35-39,2023,-0.05429999999999996,4591173
35-39,2024,,4727081
