age_band,year,second_diff,n_women_weighted
20-24,2005,,4638458
20-24,2008,0.0126,4799074
20-24,2010,-0.0013000000000000234,4908356
20-24,2013,0.013700000000000018,5113423
20-24,2015,-0.012800000000000034,5049565
20-24,2017,0.007600000000000051,5091430
20-24,2019,-0.04380000000000006,5206019
20-24,2023,0.05330000000000003,5315238
20-24,2024,,5353968
25-29,2005,,4132888
25-29,2008,0.0025000000000000022,4282130
25-29,2010,-0.008900000000000019,4398510
25-29,2013,0.012299999999999978,4446011
25-29,2015,0.00720000000000004,4540317
25-29,2017,-0.005800000000000027,4716492
25-29,2019,-0.03759999999999997,4831968
25-29,2023,0.05210000000000001,4882793
25-29,2024,,4855374
30-34,2005,,4252988
30-34,2008,0.006299999999999861,4248911
30-34,2010,-0.033399999999999874,4258256
30-34,2013,0.05669999999999997,4314309
30-34,2015,-0.035499999999999976,4530698
30-34,2017,0.0237,4584467
30-34,2019,-0.07500000000000001,4539173
30-34,2023,0.08610000000000007,4938007
30-34,2024,,4956254
35-39,2005,,3883098
35-39,2008,0.0253000000000001,4229184
35-39,2010,-0.01110000000000011,4287301
35-39,2013,0.019400000000000084,4467741
35-39,2015,-0.018900000000000028,4492802
35-39,2017,0.005799999999999916,4499538
35-39,2019,-0.05779999999999996,4518883
35-39,2023,0.07390000000000002,4591173
35-39,2024,,4727081
