age_band,year,married_share,n_women_weighted,not_married
15-19,2007,0.014930749045322414,24011512.711901218,0.9850692509546776
15-19,2008,0.008968817224107459,24576605.847665306,0.9910311827758925
15-19,2009,0.008785728122446546,24738207.02499958,0.9912142718775534
15-19,2010,0.007608212647578966,25092733.019677453,0.9923917873524211
15-19,2011,0.007954375151064076,25107448.76292577,0.9920456248489359
15-19,2012,0.006988728409653871,24847147.132881165,0.9930112715903461
15-19,2013,0.006160909250492385,24821125.31543433,0.9938390907495076
15-19,2014,0.005992188985301274,24445996.31978296,0.9940078110146987
15-19,2015,0.004516277991867341,24423898.870787095,0.9954837220081326
15-19,2016,0.004159743706081734,24074882.49626972,0.9958402562939183
15-19,2017,0.004863320298100227,23636466.19716598,0.9951366797018998
15-19,2018,0.004936292244207647,23630449.542224012,0.9950637077557923
15-19,2019,0.002445861159679819,23231484.635251902,0.9975541388403202
15-19,2020,0.002424898790330222,16182706.033931881,0.9975751012096697
15-19,2021,0.001460418554309208,22806734.905170236,0.9985395814456908
15-19,2022,0.002812976181325878,23218344.26999141,0.9971870238186741
15-19,2023,0.002381887227254456,23129290.51984064,0.9976181127727456
15-19,2024,0.0015988692683705094,23460336.08733527,0.9984011307316295
20-24,2007,0.05916410350668102,23045365.9835155,0.940835896493319
20-24,2008,0.07806949385877626,22715255.19735268,0.9219305061412237
20-24,2009,0.07434203064459462,22605551.202133555,0.9256579693554053
20-24,2010,0.06689434368015675,22963555.44787974,0.9331056563198432
20-24,2011,0.06905946437516504,23240229.94965355,0.9309405356248349
20-24,2012,0.061978032549234674,23648312.006995015,0.9380219674507653
20-24,2013,0.06186848943614975,23879997.941475317,0.9381315105638502
20-24,2014,0.05655479911662755,24645480.430977553,0.9434452008833725
20-24,2015,0.05059700702067763,24999655.394946873,0.9494029929793224
20-24,2016,0.051422572890785015,25514274.181496736,0.948577427109215
20-24,2017,0.05195870996401389,25846823.110239998,0.9480412900359861
20-24,2018,0.04586905982243016,26133844.636115067,0.9541309401775698
20-24,2019,0.03516633441635006,26242097.102947436,0.9648336655836499
20-24,2020,0.030264446481903275,16723787.966066878,0.9697355535180967
20-24,2021,0.026829345593515838,26118754.221354846,0.9731706544064842
20-24,2022,0.023245957465703706,24927380.595726624,0.9767540425342963
20-24,2023,0.023516106195451223,24539531.798838314,0.9764838938045488
20-24,2024,0.02417850465222563,23887815.62882292,0.9758214953477744
25-29,2007,0.08823116128542677,20083154.827733256,0.9117688387145733
25-29,2008,0.17863733302708004,20127138.23950461,0.8213626669729199
25-29,2009,0.1798312651223278,20653333.62659203,0.8201687348776722
25-29,2010,0.16738768595203585,20861547.537354805,0.8326123140479642
25-29,2011,0.15958359023005075,20930460.20783002,0.8404164097699492
25-29,2012,0.16214513029063055,21437579.2004867,0.8378548697093695
25-29,2013,0.14792705275443374,21649740.69877062,0.8520729472455663
25-29,2014,0.14650161593333266,21902948.16643211,0.8534983840666673
25-29,2015,0.1395195158693447,22048785.190331675,0.8604804841306553
25-29,2016,0.13773188985962945,22425345.33403999,0.8622681101403705
25-29,2017,0.12605260237470356,23273107.102023046,0.8739473976252965
25-29,2018,0.11901524482900973,23712975.250075176,0.8809847551709903
25-29,2019,0.11190669112701858,24295726.514484555,0.8880933088729814
25-29,2020,0.09822273626396866,15947298.151583439,0.9017772637360313
25-29,2021,0.09212245437588057,24307922.33362098,0.9078775456241195
25-29,2022,0.09200516336934876,24439298.24251527,0.9079948366306513
25-29,2023,0.08169963375117148,24270383.88207009,0.9183003662488285
25-29,2024,0.08127681326607931,24026684.646250155,0.9187231867339207
30-34,2007,0.11498370523645286,18149624.983875673,0.8850162947635472
30-34,2008,0.27083250418741883,18253554.41292599,0.7291674958125811
30-34,2009,0.2586744608346905,18954380.083487455,0.7413255391653095
30-34,2010,0.2604885818565335,19443562.42670778,0.7395114181434665
30-34,2011,0.24511993956523276,20058902.18489296,0.7548800604347672
30-34,2012,0.23694753863045,20365856.659316935,0.76305246136955
30-34,2013,0.23690334894242168,21407848.360212073,0.7630966510575783
30-34,2014,0.2268502262074679,21286641.691935256,0.7731497737925321
30-34,2015,0.22271659426281296,21527654.76401534,0.777283405737187
30-34,2016,0.22436934977203185,21750003.405354645,0.7756306502279682
30-34,2017,0.20951580511159493,21767329.916093666,0.790484194888405
30-34,2018,0.20290940380809147,22130742.735639796,0.7970905961919086
30-34,2019,0.20307253584690582,22423915.013060004,0.7969274641530941
30-34,2020,0.1804328807526389,14950194.783365209,0.819567119247361
30-34,2021,0.16228689603990593,22793392.214050647,0.837713103960094
30-34,2022,0.1733214007390213,23646558.149698082,0.8266785992609786
30-34,2023,0.15998954920149216,24243291.302615337,0.8400104507985078
30-34,2024,0.15465632876397561,24465103.347820323,0.8453436712360244
35-39,2007,0.1381182641698868,18412953.979678262,0.8618817358301132
35-39,2008,0.33239183781014503,18623790.749880962,0.667608162189855
35-39,2009,0.3150770548329407,18466773.653106842,0.6849229451670593
35-39,2010,0.30922807095482474,18416242.51329558,0.6907719290451753
35-39,2011,0.2921911286695416,18423374.494987924,0.7078088713304584
35-39,2012,0.2889018856669643,18419514.2152388,0.7110981143330357
35-39,2013,0.27793821579877326,18443941.013308883,0.7220617842012267
35-39,2014,0.2716836013903753,19274919.58160944,0.7283163986096247
35-39,2015,0.278870089990486,19660978.578005597,0.721129910009514
35-39,2016,0.27199355591869984,20167077.115487296,0.7280064440813001
35-39,2017,0.2645976368403565,20700686.666281246,0.7354023631596436
35-39,2018,0.258979220158921,20905892.122139446,0.7410207798410791
35-39,2019,0.2571235026818232,21134953.14462359,0.7428764973181767
35-39,2020,0.2413441482734728,14189986.883845713,0.7586558517265272
35-39,2021,0.23321162885891616,21010910.773921918,0.7667883711410839
35-39,2022,0.2313649206537449,22898482.238016065,0.7686350793462551
35-39,2023,0.22853387000386213,23117033.546051707,0.7714661299961378
35-39,2024,0.216047032536338,23706175.60621014,0.783952967463662
