country,spec,role,lag,with_1519,educ,n_cells,n_persons,n_clusters,beta,se,ci_lo,ci_hi,pvalue,amplifying,note
COL,peer_younger,primary,1,True,False,5530,2172831,68,0.44506280736160736,0.13524970636618344,0.17997825396427014,0.7101473607589446,0.0009994736547065603,False,
COL,peer_younger,primary,1,False,False,5530,2172831,68,0.44506280736160736,0.13524970636618344,0.17997825396427014,0.7101473607589446,0.0009994736547065603,False,
COL,peer_younger,primary,2,True,False,5155,2038325,64,0.32653970427214307,0.14271004488009634,0.0468331560750595,0.6062462524692267,0.022129719419398744,False,
COL,peer_younger,primary,2,False,False,5155,2038325,64,0.32653970427214307,0.14271004488009634,0.0468331560750595,0.6062462524692267,0.022129719419398744,False,
COL,peer_older,clean,1,True,False,5286,2298235,68,0.27289896973711203,0.18000736301317707,-0.07990897872074249,0.6257069181949666,0.129508385541178,False,
COL,peer_older,clean,1,False,False,4140,1688856,51,0.22472298832635473,0.16215301173191632,-0.09309107465290212,0.5425370513056116,0.16578661423571117,False,
COL,peer_older,clean,2,True,False,4926,2152728,64,0.24701020600281282,0.15805895773413892,-0.06277965859003809,0.5568000705956637,0.11810609458608208,False,
COL,peer_older,clean,2,False,False,3859,1584504,48,0.2061028583232879,0.14314674616760445,-0.07445960866931384,0.48666532531588963,0.14992364880423278,False,
COL,pop_all,robustness,1,True,False,6676,2782210,85,0.5071839531010056,0.22424690013832527,0.06766810518513805,0.9466998010168732,0.02371463819448032,False,
COL,pop_all,robustness,1,False,False,5530,2172831,68,0.36270816821318996,0.16166995643327323,0.04584087622181482,0.6795754602045652,0.02486394404034441,False,
COL,pop_all,robustness,2,True,False,6222,2606549,80,0.4892211126087791,0.19955870708993945,0.09809323391111985,0.8803489913064384,0.01422563586521755,False,
COL,pop_all,robustness,2,False,False,5155,2038325,64,0.32916779748987274,0.14094813729972647,0.05291452469440222,0.6054210702853433,0.019523453638333594,False,
COL,peer_younger,primary,1,True,True,4662,1639421,52,0.4032275700805913,0.16205909807466312,0.08559757448720717,0.7208575656739754,0.012840905891870185,False,
