year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2008,20-24,0.07809915430008811,0.0035463435274870766,0.3594034052638679,0.0068367942680368915,0.0781,0.3598
2009,20-24,0.08639427809207482,0.0038882424670255633,0.38557977883954436,0.005742910592514494,0.0743,0.3714
2010,20-24,0.08974214915473287,0.003979758371384966,0.39844283866294716,0.00629445204054162,0.0669,0.3779
2011,20-24,0.08983193656910239,0.0035893279022659874,0.408496040455737,0.007975455334042602,0.0691,0.3825
2012,20-24,0.08578325012871202,0.004380562179972926,0.4137326664364208,0.008389797560118631,0.062,0.3878
2013,20-24,0.07800510751783926,0.004065257141257005,0.4205932667295166,0.007076092887067914,0.0619,0.3887
2014,20-24,0.07014463724260066,0.003145351677173066,0.41575238036797924,0.006029087434812629,0.0566,0.3875
2015,20-24,0.06297814852812622,0.0034307786927249145,0.41087967822632004,0.004826681557511576,0.0506,0.3947
2016,20-24,0.05693642674030514,0.0027390638912635308,0.4046533060361809,0.0053514360543874045,0.0514,0.3927
2017,20-24,0.05175545435855449,0.002485011759718165,0.39559824894679596,0.006091071598977219,0.052,0.3905
2018,20-24,0.048656102639228066,0.002317500333820022,0.38776698557290873,0.005129327716165594,0.0459,0.3954
2019,20-24,0.045855469047158585,0.002438746925603214,0.3844014292809004,0.0037409543088837483,0.0352,0.4042
2020,20-24,0.043205389903055676,0.0022001112866539474,0.38032662975475995,0.00594201383232819,0.0303,0.4162
2021,20-24,0.04114709243863076,0.001963178234251936,0.3787682476733895,0.005882221167864439,0.0268,0.3996
2022,20-24,0.03954325155565131,0.002177795196898889,0.37251364783287266,0.005328670523068025,0.0232,0.3643
2023,20-24,0.037539788978275944,0.0022533772596923267,0.3680547012830402,0.006500904562156543,0.0235,0.3676
2024,20-24,0.035365794022959945,0.0022544099376129285,0.36284058310409,0.006156084094332984,0.0242,0.3441
2008,25-29,0.1805053573414933,0.0046599763224776155,0.42139007498240244,0.006310217646434691,0.1786,0.422
2009,25-29,0.17149927021137618,0.004394971955439998,0.42493525864565884,0.005416416588626573,0.1798,0.432
2010,25-29,0.16261308413427888,0.004753120847698289,0.4314951398026195,0.004981182949076099,0.1674,0.4357
2011,25-29,0.154342996604388,0.003570981987372321,0.43752528840091404,0.004260147003693098,0.1596,0.4535
2012,25-29,0.14517211276149877,0.004168402967382754,0.4472152574611054,0.004648426805495499,0.1621,0.4505
2013,25-29,0.13622984964304463,0.005392922155542341,0.45581662868850265,0.004618834811882325,0.1479,0.4551
2014,25-29,0.14083354438536277,0.0057823373680806825,0.4588872502832385,0.005532587656397638,0.1465,0.4575
2015,25-29,0.13956017754403688,0.004824186884966453,0.46254599600223967,0.0057228891612879015,0.1395,0.4616
2016,25-29,0.13584306366028925,0.004757053050815555,0.46577377081830573,0.005875013996702845,0.1377,0.4602
2017,25-29,0.12894652876512144,0.0044124913419624325,0.4699112325552347,0.004753623991404717,0.1261,0.4747
2018,25-29,0.11842829328059,0.004059942722274821,0.47414643125455863,0.004054159071169397,0.119,0.4827
2019,25-29,0.10853859329144797,0.0036632851307888147,0.47511057931823875,0.004789966290875197,0.1119,0.4802
2020,25-29,0.10038960364115417,0.0039153085620359145,0.4731752231050682,0.0048906256460754605,0.0982,0.4989
2021,25-29,0.09235414690971655,0.003442349848428213,0.47077296660681117,0.005548367356856954,0.0921,0.4858
2022,25-29,0.0851611532742974,0.0037795387982428393,0.47086029576856936,0.0058486072794589365,0.092,0.4686
2023,25-29,0.08023192206029792,0.0030888595036881765,0.4662853651853315,0.003136311345197746,0.0817,0.4654
2024,25-29,0.07652532694026812,0.0030052560618884106,0.46355368816943254,0.004936440637210613,0.0813,0.4526
2008,30-34,0.2729351428059327,0.005574860659931363,0.4107407583468019,0.0052931415308945535,0.2708,0.4117
2009,30-34,0.2631125458780743,0.004592666954461788,0.4192724442165831,0.003601471860614031,0.2587,0.4279
2010,30-34,0.2569830472757148,0.004361798427095596,0.42604529339927183,0.0045596487633813515,0.2605,0.4215
2011,30-34,0.24815590382481253,0.0032556502421045527,0.43365359443980606,0.004450884936419753,0.2451,0.4355
2012,30-34,0.2398508997956796,0.004536827291234582,0.44040271639891293,0.004995310405586789,0.2369,0.4386
2013,30-34,0.23233679353768733,0.0042738652699062735,0.44769957429863916,0.006588979779940974,0.2369,0.4408
2014,30-34,0.2224268392864289,0.004495168359784285,0.44878711486460804,0.005544597587556153,0.2269,0.4426
2015,30-34,0.21365887037937167,0.005506559022634399,0.4538547152416404,0.006701848997822796,0.2227,0.4481
