year,single,cohabiting,married
2008,0.41628624999999997,0.36078249999999995,0.22293125000000003
2009,0.4061787499999999,0.370885,0.22293625
2010,0.4006275,0.37719625000000007,0.22217625000000002
2011,0.39807375,0.38095874999999996,0.22096749999999998
2012,0.39791875000000004,0.3830750000000001,0.21900625
2013,0.39888125,0.38440375,0.21671500000000002
2014,0.40157750000000003,0.38463125,0.21379125
2015,0.40378500000000006,0.38569125,0.21052375
2016,0.40763125,0.38562124999999997,0.2067475
2017,0.41223875,0.38535250000000004,0.20240875000000005
2018,0.41719875,0.38494,0.19786125000000004
2019,0.42147874999999996,0.3855287499999999,0.1929925
2020,0.4261249999999999,0.38599,0.187885
2021,0.4313875,0.38652125,0.18209124999999998
2022,0.43654499999999996,0.3871925,0.1762625
2023,0.441905,0.3877774999999999,0.1703175
2024,0.44742249999999995,0.38769000000000003,0.16488750000000002
