year,tfr_overlay_mean,tfr_overlay_sd,tfr_observed
2008,NaN,0.0,
2009,1.2349785137117566,0.0319727645197726,
2010,1.2335471588990556,0.03295366772355036,
2011,1.2304161458186385,0.03399419741167844,
2012,1.2204253620291905,0.024057988474538564,
2013,1.2263178134010029,0.03577097087467373,
2014,1.2116357683183845,0.03501360876958782,
2015,1.1936105723104615,0.024684731112556407,1.7
2016,1.1873311460369202,0.02202554743261863,1.7
2017,1.1568883069818452,0.028868291833680004,1.7
2018,1.1514405559783856,0.02587629053344431,1.7
2019,1.148120955423421,0.03640275856428205,1.6
2020,1.1342123463450045,0.02016385964511114,1.5
2021,1.122906027810383,0.030579160296265756,1.5
2022,1.103215466709916,0.03860169141398245,1.4
2023,1.0949571289346829,0.023676412507798904,1.2
2024,1.07359355962381,0.02174392391962168,1.1
