birth_year,kappa,phi
1961,0.9882428549793576,1.9603751271903815
1962,0.9866594981068364,1.9061557536091194
1963,0.9848681326052022,1.8534359606085178
1964,0.9828429224583469,1.80217427331033
1965,0.9805552450380329,1.75233036393407
1966,0.977973511062739,1.7038650200709802
1967,0.9750630097915237,1.6567401138354698
1968,0.9717857935289932,1.6109185718697498
1969,0.9681006189552687,1.5663643461780683
1970,0.9639629665703919,1.5230423857676054
1971,0.959325163493516,1.4809186090737119
1972,0.9541366387099569,1.439959877147803
1973,0.9483443431972465,1.4001339675868096
1974,0.9418933695962869,1.3614095491836826
1975,0.9347278064467294,1.323756157279002
1976,0.9267918595116678,1.2871441697943047
1977,0.9180312662671792,1.2515447839282734
1978,0.9083950180754863,1.2169299934974533
1979,0.8978373868771933,1.183272566903674
1980,0.8863202288019757,1.150546025710837
1981,0.8738155060144437,1.1187246238142223
1982,0.8603079316024496,1.0877833271859216
1983,0.8457976030592849,1.0576977941804655
1984,0.8303024522451652,1.02844435638515
1985,0.8138603095248006,1.0
1986,0.7965303639626751,0.9723423477327171
1987,0.7783938068644523,0.9454496411943721
1988,0.7595534778772017,0.9193007237819909
1989,0.7401323933419868,0.8938750240345671
1990,0.7202711229495256,0.8691525394494098
1991,0.700124084896601,0.8451138207460922
1992,0.6798549387304706,0.8217399565656219
1993,0.659631353036372,0.7990125585927979
1994,0.6396194963475652,0.7769137470900462
1995,0.6199786320069093,0.755426136831358
1996,0.600856185502127,0.7345328234252595
1997,0.5823835981895354,0.7142173700160581
1998,0.5646731937764882,0.6944637943529006
1999,0.5478161779459402,0.6752565562164703
2000,0.5318817833007952,0.6565805451934322
2001,0.5169174759835684,0.6384210687890093
2002,0.5029500673516347,0.6207638408683357
2003,0.4899875290945517,0.6035949704174963
2004,0.47802129314051894,0.5869009506154084
2005,0.46702882459953593,0.5706686482079496
2006,0.4569762804863267,0.5548852931759738
2007,0.44782110202074393,0.5395384686890834
2008,0.439514427470301,0.5246161013372584
2009,0.4320032506961183,0.5101064516326549
