year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2010,20-24,0.12436625475723728,0.004397590110564958,0.19849864126168704,0.004550790885950605,0.1244,0.199
2011,20-24,0.13349009249980032,0.004080462566938603,0.20879273630983708,0.003883932902993035,0.0988,0.1958
2012,20-24,0.13517200904978421,0.004332232602821217,0.21217795908767642,0.0038503279726288726,0.0898,0.1788
2013,20-24,0.13265878547882665,0.004806280041606357,0.21456256120085412,0.005059910070874584,0.0815,0.1718
2014,20-24,0.12419121931856157,0.003293358868765343,0.21442555607871194,0.004738861062720988,0.0775,0.1866
2015,20-24,0.10983683790129005,0.003850691301175172,0.21446760683631333,0.003587292666988244,0.081,0.2084
2016,20-24,0.0957714322144985,0.003443608103620258,0.20956580686563064,0.002744020510100588,0.0836,0.2074
2017,20-24,0.08493519745960393,0.003692263981810427,0.20340319990497985,0.0039039256715817454,0.0659,0.1946
2018,20-24,0.07403058686856387,0.004206327446653512,0.1990698125322507,0.003738901573135945,0.056,0.1961
2019,20-24,0.0663394667640611,0.003042811166657881,0.19420004795921483,0.004587711993598762,0.0496,0.1849
2020,20-24,0.060321423489737715,0.0030301264849896393,0.18927622950537018,0.004385739123949521,0.0352,0.1949
2021,20-24,0.05597446267176439,0.0028660397595748083,0.18581363212379431,0.004088240204053037,0.0341,0.1713
2022,20-24,0.052024481895300616,0.0021334633168672876,0.1841941520415071,0.0038431790334999562,0.0287,0.1697
2023,20-24,0.04828946582466206,0.0024116450059475654,0.18233226188664756,0.004616389933075764,0.0275,0.1648
2024,20-24,0.04467073664691154,0.002373016956395693,0.17806278701168765,0.0053282113027126555,0.0313,0.1796
2010,25-29,0.26668707271380293,0.004140757259954101,0.24075881712927147,0.006796337140423124,0.2648,0.2417
2011,25-29,0.252637904177008,0.005155973266028302,0.23541037190323222,0.007154407075819055,0.2417,0.2379
2012,25-29,0.2376029473826827,0.004682834936987582,0.2354146462561568,0.00680157086630021,0.2288,0.2449
2013,25-29,0.22361502470567618,0.004895887611167915,0.23569735936753008,0.006845622347136796,0.2104,0.2509
2014,25-29,0.2091377787897225,0.0036809636520235213,0.23850981555609904,0.005471767864408358,0.2207,0.2433
2015,25-29,0.19460176668053794,0.004675683258694771,0.2432986349321977,0.006109242312187977,0.2315,0.2635
2016,25-29,0.19893609516031363,0.004137169107473397,0.2460047364248451,0.004141942134218015,0.2098,0.2607
2017,25-29,0.19653794763897664,0.004929148781930515,0.24628178523471034,0.004871142628385825,0.196,0.2559
2018,25-29,0.18961050125138715,0.003951097842926628,0.24877761435526535,0.0048731149357354705,0.1745,0.2578
2019,25-29,0.17897174519704043,0.002989151062730676,0.24972002719530156,0.003666186211966242,0.1535,0.2659
2020,25-29,0.16192030860663506,0.003284890113277251,0.2513025536542606,0.00466664189546576,0.167,0.2507
2021,25-29,0.14463297706286937,0.0031997289606880597,0.25160663514121734,0.004856453808711639,0.1522,0.2651
2022,25-29,0.12980404017178734,0.0036450998562610956,0.25087553092117343,0.004553514603451445,0.138,0.2706
2023,25-29,0.11725799189013125,0.0043085624519626055,0.2501272312349886,0.004825404835616257,0.1272,0.2639
2024,25-29,0.10647436731003174,0.004245604008042362,0.24818733622803474,0.004703659918591688,0.1058,0.258
2010,30-34,0.4338560413792121,0.006567959594368877,0.22913499499091192,0.003336164440886373,0.4309,0.2315
2011,30-34,0.41143230340238873,0.005813331438234764,0.22863930571083585,0.004125450108051599,0.3974,0.2179
2012,30-34,0.39008767867131294,0.003977530240810359,0.22883693467351093,0.00475126131073156,0.3769,0.2445
2013,30-34,0.3698431699205564,0.004739133783427706,0.23046614748152958,0.005837430779696052,0.3651,0.2292
2014,30-34,0.3492555548850944,0.004901652054986933,0.2353374837312523,0.0058513132337725746,0.3659,0.2496
2015,30-34,0.3305621734450678,0.004327605835602557,0.2401307209987501,0.006147333086903911,0.3726,0.2437
2016,30-34,0.31480132254708354,0.0036062195855349516,0.2394760882552061,0.006007423534647405,0.3491,0.2469
2017,30-34,0.298998575725343,0.004167768464212012,0.24243214436371543,0.005837876505661267,0.3463,0.2569
2018,30-34,0.284449471058998,0.00532335702675771,0.24553276447711794,0.004764554325764022,0.3086,0.246
2019,30-34,0.26602337467353476,0.005498426674653026,0.2511710373876664,0.00497675356801393,0.3002,0.2535
2020,30-34,0.25055217841167654,0.005834791385837861,0.2552033652598993,0.004490498992952907,0.2895,0.2557
2021,30-34,0.24961834565159055,0.005150874055609011,0.25643249854837125,0.0038979549216488175,0.2591,0.2651
2022,30-34,0.24234539905521305,0.0055655916745805094,0.25696155400472465,0.0040845494380352156,0.2417,0.2525
2023,30-34,0.2330733807681179,0.0034951770292316565,0.2609859605978953,0.004142460882121674,0.2227,0.2782
2024,30-34,0.22050452243905277,0.003497791259274301,0.2644344776113469,0.004595043055750482,0.2161,0.2478
2010,35-39,0.47499216238207126,0.0066944684501663,0.2095517356037541,0.006465934136769504,0.4768,0.2096
2011,35-39,0.47645483729242144,0.006621973601836454,0.21089326103586803,0.005865537317970185,0.4837,0.2203
2012,35-39,0.47769129554022743,0.006653411976387854,0.21099413374644121,0.00597789890915359,0.4889,0.2068
2013,35-39,0.477647668541336,0.005718058127018371,0.21020524905267624,0.0043076580184119966,0.4387,0.2161
2014,35-39,0.4778699945954855,0.007161132246248362,0.20959444077600395,0.00585322402263302,0.4577,0.216
2015,35-39,0.476864266700329,0.00777265373437874,0.20757524277062667,0.006474187425010776,0.4689,0.2227
2016,35-39,0.45660014967280405,0.007165772259878264,0.21186386337363872,0.004743293088093485,0.4179,0.2372
2017,35-39,0.4368033330626342,0.00620412945192692,0.21491940488225614,0.005412093498125524,0.4229,0.2324
2018,35-39,0.4162434112356482,0.0050248365271724806,0.2194442574916774,0.004614998995378698,0.4085,0.217
2019,35-39,0.39701109283032143,0.005983215633696499,0.22555283567796683,0.006056979638139025,0.3825,0.2396
2020,35-39,0.3782715745171513,0.005622783869951003,0.2316846749817333,0.004246219908721118,0.3793,0.2216
2021,35-39,0.3609128502204381,0.005095769810510678,0.23344323694378077,0.0036068330521418774,0.3505,0.2373
2022,35-39,0.34395004802601054,0.004696790570796512,0.23950045025200847,0.0047935607589264795,0.3603,0.2285
2023,35-39,0.3272564450603245,0.004925922456228505,0.24458956439545204,0.005394403076118893,0.3166,0.2496
2024,35-39,0.3090092373605419,0.005422451950962373,0.2506371077589396,0.004405550701964808,0.3086,0.258
