year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2010,20-24,0.12436625475723728,0.004397590110564958,0.19849864126168704,0.004550790885950605,0.1244,0.199
2011,20-24,0.1318503020755899,0.003950353100326597,0.2090581163803461,0.003521362662013741,0.0988,0.1958
2012,20-24,0.13305581196762392,0.004992738192777432,0.21293546288129075,0.004576592801359372,0.0898,0.1788
2013,20-24,0.1304616786007087,0.005203900116947489,0.21533581535849378,0.005946458130856981,0.0815,0.1718
2014,20-24,0.12078557046339741,0.004822153348377962,0.21528244888177092,0.005127667737522436,0.0775,0.1866
2015,20-24,0.10701040282678649,0.003593467737966894,0.2148737144743365,0.004620422113489721,0.081,0.2084
2016,20-24,0.09428041155793809,0.0035233870332820744,0.2081358628577799,0.0051827850016135536,0.0836,0.2074
2017,20-24,0.08314697873664754,0.004012654638690151,0.20138446287557799,0.005142037856583621,0.0659,0.1946
2018,20-24,0.07378932413562066,0.0031686008913954945,0.19567130275710834,0.004659767714058597,0.056,0.1961
2019,20-24,0.06690414196764309,0.0026249252234934,0.1891810642814239,0.0053884050466760395,0.0496,0.1849
2020,20-24,0.06187569262491029,0.0022723766601433393,0.1820344054576962,0.0040741322414189485,0.0352,0.1949
2021,20-24,0.05890987131411744,0.0025859534883774455,0.1775228665344659,0.004410008715290151,0.0341,0.1713
2022,20-24,0.055528106081759364,0.0026550406633804946,0.17548086650782035,0.004247599986723681,0.0287,0.1697
2023,20-24,0.05310716620575983,0.0028531638570361033,0.17221542449377789,0.005645290843278453,0.0275,0.1648
2024,20-24,0.051106366701579115,0.002899398405116785,0.1687745808695377,0.005588490548505921,0.0313,0.1796
2010,25-29,0.26668707271380293,0.004140757259954101,0.24075881712927147,0.006796337140423124,0.2648,0.2417
2011,25-29,0.2512372910527636,0.005319794013927179,0.23704521068871487,0.00729239328368363,0.2417,0.2379
2012,25-29,0.23439503751768803,0.005436182789904661,0.23674184227120376,0.006987508270619729,0.2288,0.2449
2013,25-29,0.21877647107401194,0.005297758544459087,0.23774090158437142,0.004923126082822562,0.2104,0.2509
2014,25-29,0.20298940439829988,0.00585561284687263,0.239820687668579,0.004271246336651695,0.2207,0.2433
