year,single,cohabiting,married
2010,0.4668075,0.20374624999999996,0.32944625
2011,0.46987625,0.20453624999999998,0.32558750000000003
2012,0.47467249999999994,0.20419250000000003,0.321135
2013,0.4796825,0.20376875,0.31654875
2014,0.48648875,0.2026925,0.31081875
2015,0.49274249999999997,0.20252375,0.30473374999999997
2016,0.4999550000000001,0.20172749999999998,0.29831750000000007
2017,0.5072775,0.2008725,0.29184999999999994
2018,0.5149125000000001,0.20039749999999998,0.28469
2019,0.522625,0.200145,0.27723
2020,0.5306250000000001,0.19982874999999997,0.26954625
2021,0.5393224999999999,0.19914375,0.26153374999999995
2022,0.547555,0.19901875,0.25342625
2023,0.5563675,0.19898499999999994,0.2446475
2024,0.565055,0.19892625000000003,0.23601874999999997
