year,tfr_overlay_mean,tfr_overlay_sd,tfr_observed
2010,NaN,0.0,1.83
2011,1.2336015635910038,0.020255543525886568,1.87
2012,1.2127751648892,0.02481149434080781,1.84
2013,1.1720852482868707,0.02263129355103307,1.76
2014,1.1463319293724434,0.030671785198156387,1.78
2015,1.1327354568561692,0.03012231835272654,1.77
2016,1.1024192078167576,0.03301978108109188,1.71
2017,1.0706591706928459,0.02779333158531206,1.67
2018,1.0488201602519391,0.02996898778359922,1.66
2019,1.0377931429859493,0.026068378600447223,1.56
2020,1.0067856281448126,0.02163191648832968,1.41
2021,0.977582873290033,0.02472894525871383,1.32
2022,0.9622044915515122,0.025322691156117072,1.3
2023,0.9428970885306107,0.018115997186553944,1.22
2024,0.9241640227597988,0.033327503058878445,1.12
