country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,1.726491,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,3.741874,0.260447,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.659019,0.160000,0.468328,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.676578,0.160000,0.300000,0.092403,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.103627,0.160000,0.300000,0.050000,0.103183,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.683074,0.160000,0.300000,0.050000,0.060000,0.028199,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.621219,0.160000,0.300000,0.050000,0.060000,0.015000,0.484914,1990.000000,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.600046,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1998.763349,0.150000,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.834300,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.282313,0.005000,0.150000,2018.000000,0.800000
CRI,1,1.291308,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.023119,0.150000,2018.000000,0.800000
CRI,1,1.777116,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.279706,2018.000000,0.800000
CRI,1,1.706840,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2022.406683,0.800000
CRI,1,1.728666,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.150000,2018.000000,1.322631
CRI,1,0.281686,0.092549,0.326047,0.055805,0.066289,0.016780,0.328074,1991.664246,0.167328,0.008273,0.167620,2018.839901,0.876985
CRI,1,0.122304,0.055010,0.339486,0.058897,0.069587,0.017732,0.342634,1992.469867,0.176655,0.009885,0.177022,2019.245965,0.917236
CRI,1,0.865497,0.133651,0.332734,0.057335,0.067925,0.017251,0.335312,1992.069392,0.079411,0.009082,0.172271,2019.044152,0.896968
CRI,1,0.796926,0.129645,0.338356,0.058634,0.069308,0.017651,0.341408,1992.403452,0.138748,0.009751,0.078087,2019.212502,0.913839
CRI,1,0.703069,0.125108,0.344970,0.060178,0.070943,0.018127,0.348590,1992.788980,0.136952,0.010528,0.142329,2019.406718,0.474740
CRI,1,0.627778,0.120002,0.352757,0.062018,0.072880,0.018695,0.357063,1993.232883,0.134884,0.011428,0.141082,2019.630247,0.786529
CRI,1,0.514327,0.114296,0.361933,0.064216,0.075178,0.019375,0.367070,1993.742540,0.132509,0.012468,0.139639,2013.742596,0.784300
CRI,1,0.659308,0.107973,0.372752,0.066851,0.077911,0.009049,0.378900,1994.325614,0.129790,0.013666,0.137971,2018.453819,0.781705
CRI,1,0.271274,0.101041,0.385513,0.032079,0.081167,0.016753,0.392898,1994.989717,0.126684,0.015043,0.136046,2018.528487,0.778685
CRI,1,0.160150,0.093539,0.222892,0.058964,0.085052,0.017061,0.409470,1995.741902,0.123152,0.016619,0.133829,2018.615237,0.775172
CRI,1,0.201492,0.085544,0.356591,0.060571,0.089696,0.017425,0.231762,1996.587894,0.119153,0.018411,0.131280,2018.715945,0.771089
CRI,1,0.099939,0.077185,0.366453,0.062487,0.095250,0.017858,0.383134,1986.509020,0.114648,0.020434,0.128358,2018.832745,0.766344
CRI,1,0.322648,0.054954,0.401686,0.069539,0.115542,0.019440,0.428045,1979.224941,0.100177,0.026883,0.118560,2019.235485,0.749906
CRI,1,0.323883,0.068644,0.378083,0.064777,0.101889,0.018374,0.397910,1995.735552,0.109605,0.001148,0.125018,2018.968052,0.760836
CRI,1,0.221454,0.060155,0.391801,0.067526,0.058869,0.018990,0.415404,1996.580781,0.104001,0.019427,0.121216,2019.124577,0.754446
CRI,1,0.273939,0.062807,0.366407,0.060858,0.089949,0.016830,0.389688,1995.548793,0.204112,0.017458,0.098386,2018.099041,0.648873
CRI,1,0.236365,0.057773,0.365322,0.059892,0.092026,0.016313,0.391463,1995.745030,0.125702,0.018066,0.218176,2017.727298,0.598634
CRI,1,0.301903,0.053094,0.361959,0.058307,0.093885,0.015594,0.391184,1995.866691,0.125548,0.018553,0.134821,2017.219948,1.146885
CRI,1,0.198575,0.054134,0.332794,0.051064,0.088896,0.031310,0.362427,1994.684065,0.131755,0.016425,0.138563,2018.027623,0.786488
CRI,1,0.378650,0.044397,0.348956,0.053466,0.097334,0.018103,0.385325,1995.941577,0.126278,0.019297,0.135089,2016.461776,0.781656
CRI,1,0.459540,0.040577,0.337803,0.049955,0.098616,0.017259,0.378146,1995.829445,0.127517,0.019439,0.135741,2022.050170,0.783439
CRI,1,0.283520,0.050628,0.343768,0.053264,0.092489,0.017770,0.375364,1995.324444,0.128748,0.017763,0.136707,2020.321606,0.783655
CRI,1,0.390644,0.103944,0.349735,0.060134,0.075589,0.018428,0.358423,1993.508197,0.134239,0.012345,0.140586,2020.583535,0.786422
CRI,1,0.252427,0.053616,0.349151,0.055077,0.091663,0.018184,0.378521,1995.355848,0.128225,0.017625,0.136446,2017.571455,0.782846
CRI,1,0.085954,0.060950,0.317033,0.048084,0.070180,0.018125,0.343338,1993.665426,0.158528,0.030019,0.153847,2018.062143,0.811533
CRI,1,0.071798,0.057539,0.288501,0.041136,0.056796,0.018001,0.317518,1992.567789,0.189978,0.038677,0.170168,2017.594202,0.837749
CRI,1,0.082391,0.080998,0.319964,0.050674,0.070948,0.021728,0.337565,1992.951179,0.148554,0.020417,0.148604,2019.794249,0.483203
CRI,1,0.158425,0.093205,0.333591,0.055073,0.068850,0.019835,0.346401,1993.137822,0.148373,0.021593,0.148623,2016.494489,0.688093
CRI,1,0.072816,0.078226,0.306771,0.047230,0.067790,0.021461,0.326011,1992.465468,0.087942,0.022530,0.214698,2018.645470,0.836468
CRI,1,0.266847,0.048370,0.277774,0.089873,0.073537,0.022427,0.312590,1992.644952,0.134451,0.025717,0.172258,2018.238377,0.708079
CRI,1,0.154514,0.057213,0.303017,0.071186,0.075405,0.020891,0.331803,1993.249569,0.132467,0.023266,0.162555,2018.311294,0.725262
CRI,1,0.144935,0.090442,0.302953,0.058140,0.061970,0.021224,0.318293,1991.862047,0.133561,0.024399,0.176700,2019.280300,0.695143
CRI,1,0.156422,0.089827,0.278715,0.053165,0.057375,0.024483,0.295443,1990.709460,0.137615,0.024994,0.104032,2019.384593,0.920914
CRI,1,0.166718,0.092072,0.240653,0.044892,0.089766,0.022153,0.258336,1988.574967,0.173739,0.024674,0.186043,2018.053124,0.765380
CRI,1,0.067644,0.065114,0.251379,0.047938,0.058933,0.024940,0.457399,1987.060722,0.161818,0.026498,0.182725,2018.365782,0.747894
CRI,1,0.188075,0.057246,0.207476,0.042467,0.046583,0.029425,0.586391,1981.625050,0.188070,0.029962,0.213695,2018.188367,0.736491
CRI,1,0.437155,0.108737,0.258888,0.056417,0.055277,0.012734,0.322043,1988.079577,0.151603,0.029471,0.181622,2019.096170,0.726852
CRI,1,0.090574,0.063719,0.313326,0.052363,0.079621,0.025533,0.352106,1993.146975,0.136473,0.020059,0.148462,2018.300260,0.771256
CRI,1,0.161543,0.059248,0.368763,0.065328,0.053348,0.019428,0.455973,1994.943051,0.110131,0.021423,0.129871,2019.111255,0.748137
CRI,1,0.079948,0.065843,0.333985,0.059658,0.061350,0.020084,0.401940,1993.462076,0.123532,0.022259,0.142413,2018.852308,0.752421
CRI,1,0.076720,0.055386,0.414476,0.050153,0.053605,0.025644,0.294687,1987.138288,0.155762,0.029425,0.182666,2018.603624,0.734904
CRI,1,0.126734,0.051366,0.300853,0.052944,0.064872,0.023257,0.344125,1989.172216,0.130409,0.026646,0.170937,2020.803522,0.834957
CRI,1,0.221077,0.048757,0.361988,0.054808,0.078697,0.018612,0.408027,1991.448443,0.139383,0.023682,0.253735,2018.412512,0.607857
