country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,1.906980,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,3.829884,0.260447,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,2.804020,0.160000,0.468328,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,2.678557,0.160000,0.300000,0.092403,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.541121,0.160000,0.300000,0.050000,0.103183,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.664559,0.160000,0.300000,0.050000,0.060000,0.028199,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.906980,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.906980,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1998.763349,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.906980,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.282313,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.906980,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,0.800000
CRI,1,1.859514,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.279706,2018.000000,0.800000
CRI,1,1.976316,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2022.406683,0.800000
CRI,1,1.912393,0.160000,0.300000,0.050000,0.060000,0.015000,1.000000,1990.000000,0.150000,0.000000,0.150000,2018.000000,1.322631
CRI,1,0.631970,0.092549,0.326047,0.055805,0.066289,0.016780,1.000000,1991.664246,0.167328,0.000000,0.167620,2018.839901,0.876985
CRI,1,0.367369,0.055010,0.339486,0.058897,0.069587,0.017732,1.000000,1992.469867,0.176655,0.000000,0.177022,2019.245965,0.917236
CRI,1,1.091892,0.133651,0.176788,0.057335,0.067925,0.017251,1.000000,1992.069392,0.171935,0.000000,0.172271,2019.044152,0.896968
CRI,1,0.966270,0.129645,0.282287,0.026160,0.069308,0.017651,1.000000,1992.403452,0.175861,0.000000,0.176223,2019.212502,0.913839
CRI,1,0.910470,0.125108,0.279398,0.047468,0.070943,0.018127,1.000000,1992.788980,0.180541,0.000000,0.180922,2013.170110,0.933768
CRI,1,0.790489,0.120002,0.276051,0.047057,0.072880,0.018695,1.000000,1993.232883,0.186140,0.000000,0.186525,2017.843713,0.488673
CRI,1,0.702172,0.114296,0.272179,0.046580,0.075178,0.019375,1.000000,1993.742540,0.192863,0.000000,0.193226,2017.817562,0.811174
CRI,1,0.559631,0.107973,0.267706,0.046029,0.077911,0.020191,1.000000,1994.325614,0.093198,0.000000,0.201268,2017.787017,0.813047
CRI,1,0.423933,0.101041,0.262549,0.045393,0.081167,0.021176,1.000000,1983.139995,0.167062,0.000000,0.210956,2017.751332,0.815236
CRI,1,0.294182,0.093539,0.256618,0.044660,0.085052,0.022369,1.000000,1992.486909,0.170072,0.000000,0.222675,2017.709633,0.817795
CRI,1,0.142700,0.071809,0.236593,0.042171,0.099296,0.026911,1.000000,1993.666516,0.180990,0.000000,0.267143,2017.563133,0.826795
CRI,1,0.186293,0.081838,0.246461,0.043400,0.092059,0.024570,1.000000,1993.082426,0.175455,0.000000,0.244248,2017.636490,0.822286
CRI,1,0.160205,0.073372,0.238217,0.042374,0.098076,0.026511,1.000000,1993.569979,0.180057,0.000000,0.124437,2017.575374,0.826042
CRI,1,0.158780,0.064823,0.228857,0.041202,0.105263,0.013780,1.000000,1994.128455,0.185559,0.000000,0.232190,2017.503887,0.830439
CRI,1,0.098465,0.056445,0.218292,0.039869,0.061839,0.025918,1.000000,1994.765529,0.192164,0.000000,0.248504,2017.420239,0.835588
CRI,1,0.229820,0.037318,0.184346,0.035489,0.045876,0.033003,1.000000,1996.866820,0.216892,0.000000,0.311097,2017.125456,0.853780
CRI,1,0.258948,0.058246,0.369102,0.032312,0.094353,0.024405,1.000000,1993.318502,0.171077,0.000000,0.232626,2016.011751,0.734180
CRI,1,0.310331,0.053079,0.253476,0.071064,0.097219,0.025159,1.000000,1993.145424,0.166477,0.000000,0.238135,2015.252991,0.692839
