country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,1.674006,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,3.683294,0.260447,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.643198,0.160000,0.468328,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.729004,0.160000,0.300000,0.092403,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.068348,0.160000,0.300000,0.050000,0.103183,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.657710,0.160000,0.300000,0.050000,0.060000,0.028199,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.613609,0.160000,0.300000,0.050000,0.060000,0.015000,0.484914,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.595349,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1998.763349,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.794983,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.282313,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.275411,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.023119,0.000000,2018.000000,0.800000
CRI,1,1.674006,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,0.800000
CRI,1,1.674006,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2022.406683,0.800000
CRI,1,1.674006,0.160000,0.300000,0.050000,0.060000,0.015000,0.300000,1990.000000,0.150000,0.005000,0.000000,2018.000000,1.322631
CRI,1,0.291302,0.092549,0.326047,0.055805,0.066289,0.016780,0.328074,1991.664246,0.167328,0.008273,0.000000,2018.839901,0.876985
CRI,1,0.140171,0.055010,0.339486,0.058897,0.069587,0.017732,0.342634,1992.469867,0.176655,0.009885,0.000000,2019.245965,0.917236
CRI,1,0.864996,0.133651,0.332734,0.057335,0.067925,0.017251,0.335312,1992.069392,0.079411,0.009082,0.000000,2019.044152,0.896968
CRI,1,0.822364,0.129645,0.338356,0.026160,0.069308,0.017651,0.341408,1992.403452,0.138748,0.009751,0.000000,2019.212502,0.913839
CRI,1,0.675567,0.125108,0.344970,0.047468,0.070943,0.018127,0.348590,1992.788980,0.136952,0.010528,0.000000,2019.406718,0.474740
CRI,1,0.568112,0.120002,0.352757,0.047057,0.072880,0.018695,0.357063,1993.232883,0.134884,0.011428,0.000000,2013.434105,0.786529
CRI,1,0.499893,0.114296,0.361933,0.046580,0.075178,0.019375,0.367070,1993.742540,0.132509,0.012468,0.000000,2018.127445,0.784300
