year,age_band,married_sim,married_sim_sd,cohab_sim,cohab_sim_sd,married_obs,cohab_obs
2008,20-24,0.07809915430008811,0.0035463435274870766,0.3594034052638679,0.0068367942680368915,0.0781,0.3598
2009,20-24,0.08641377628523084,0.004338064560197333,0.3825737038283678,0.006077256248300478,0.0743,0.3714
2010,20-24,0.09016276633893666,0.0036146544874037685,0.39436824471064036,0.0060009201986760945,0.0669,0.3779
2011,20-24,0.08999417450206719,0.004743680538056358,0.40460813202252643,0.007240472471532089,0.0691,0.3825
2012,20-24,0.08661563000163922,0.004194107166443518,0.40820688646308334,0.006744447882144388,0.062,0.3878
2013,20-24,0.07978688460072382,0.0032268070688725517,0.4120464764479221,0.006427752343589485,0.0619,0.3887
2014,20-24,0.07244739834508897,0.0031574035197346534,0.4045210195532136,0.00846436599516382,0.0566,0.3875
2015,20-24,0.06549521048562154,0.003015429777256436,0.4006357666506467,0.008539226937478616,0.0506,0.3947
2016,20-24,0.059602272187044815,0.0021400970437974566,0.3934282975183666,0.0074287270947309,0.0514,0.3927
2017,20-24,0.05574805278414962,0.00304922092060173,0.38790111520800724,0.006384666033245331,0.052,0.3905
2018,20-24,0.052760076990927135,0.0030221383406691276,0.3795182385937233,0.004685013484563096,0.0459,0.3954
2019,20-24,0.050021899766140146,0.0025028694836541398,0.37601983565121877,0.003991560755909644,0.0352,0.4042
2020,20-24,0.047451778390652316,0.002187734757562599,0.3746089670037158,0.003988783344461327,0.0303,0.4162
2021,20-24,0.04594021970034303,0.0020259746674516953,0.3714613229464607,0.003953482483730461,0.0268,0.3996
2022,20-24,0.04243692426579671,0.002192688544443636,0.36794189411980616,0.005757754701906131,0.0232,0.3643
2023,20-24,0.04011963940314778,0.001706849897132649,0.36508585581255865,0.0064637329110985705,0.0235,0.3676
2024,20-24,0.03717210220332192,0.0020284428494536247,0.3605689918243889,0.0062435715104376234,0.0242,0.3441
2008,25-29,0.1805053573414933,0.0046599763224776155,0.42139007498240244,0.006310217646434691,0.1786,0.422
2009,25-29,0.17094446090670398,0.0049911071023641266,0.4226495592717902,0.005770969297208692,0.1798,0.432
2010,25-29,0.16129859801055976,0.004763042532760568,0.4268589038227075,0.0051227162465207875,0.1674,0.4357
2011,25-29,0.15313743314894881,0.00412155648126802,0.4329970599381963,0.005066550171758811,0.1596,0.4535
2012,25-29,0.14245023985482966,0.003972508460519743,0.442985317771417,0.004547200380904167,0.1621,0.4505
2013,25-29,0.13392488744951725,0.004122538642736194,0.4548020031029647,0.0060011167078354915,0.1479,0.4551
2014,25-29,0.1384264947786359,0.0043995659427950905,0.45564408847229504,0.006354953111587249,0.1465,0.4575
2015,25-29,0.13713389286207758,0.0046679749751729616,0.45918485782568297,0.005708815499752984,0.1395,0.4616
2016,25-29,0.13448888419908694,0.0043036024379963815,0.4610429880319508,0.005455552198802607,0.1377,0.4602
2017,25-29,0.12880046954028088,0.0046464355235866705,0.46184615442665117,0.005556243969188294,0.1261,0.4747
2018,25-29,0.11958797805263492,0.004228539004077745,0.46577982869671414,0.005930376685924309,0.119,0.4827
2019,25-29,0.11038780344802343,0.0034637132182997778,0.4647737714039056,0.007165979807732538,0.1119,0.4802
