year,pi,country
2010,0.9998405284881958,CRI
2011,0.9996571666941674,CRI
2012,0.9992639866012041,CRI
2013,0.9984245280714332,CRI
2014,0.9966486480030622,CRI
2015,0.9929637710848486,CRI
2016,0.9856157557921005,CRI
2017,0.9720592227659132,CRI
2018,0.9502951277654716,CRI
2019,0.9221055360827228,CRI
2020,0.8942379156052189,CRI
2021,0.8731540661198947,CRI
2022,0.860206539130601,CRI
2023,0.8532470530889897,CRI
2024,0.8497723291395737,CRI
2008,0.9999993643857902,COL
2009,0.999998370846544,COL
2010,0.999995824324246,COL
2011,0.9999892975734271,COL
2012,0.9999725707489061,COL
2013,0.999929711436915,COL
2014,0.999819947492548,COL
2015,0.999539198493825,COL
2016,0.9988234572638806,COL
2017,0.9970138635367327,COL
2018,0.9925333329265982,COL
2019,0.9819908855256788,COL
2020,0.9599028098172034,COL
2021,0.92310972138046,COL
2022,0.8802334317877668,COL
2023,0.8469323382453392,COL
2024,0.8283069713071302,COL
