year,tfr_overlay_mean,tfr_overlay_sd,tfr_observed
2010,NaN,0.0,1.83
2011,1.2372350860057473,0.024882507968769497,1.87
2012,1.1999497998011224,0.037239652659688365,1.84
2013,1.1838955575012868,0.034369686322460145,1.76
2014,1.1560196715945068,0.024860625211340023,1.78
2015,1.1378272440007788,0.019915192977903496,1.77
2016,1.12707857903535,0.024548980707183393,1.71
2017,1.0758598835703759,0.022384535530433528,1.67
2018,1.0644227961533084,0.025600339355349486,1.66
2019,1.0324742772779032,0.018394403023326223,1.56
2020,1.0133668470409543,0.03131818630285686,1.41
2021,0.9800687191746578,0.0316342162013381,1.32
2022,0.960112284692589,0.024091386090634045,1.3
2023,0.9411869622440197,0.02900569117463978,1.22
2024,0.8961418938824904,0.03190318491832699,1.12
