metric,value
K,15.258064357772554
L,17.602065276886762
K_over_L,0.8668337560256574
Y,26.751029688569247
C,13.019747777595544
M,1.2840877398601898
G,5.082695640828157
deltaK,5.326832963559652
Lambda_void,1.2602594760108325
r_5yr,0.2820500440564091
w,0.9726505799955998
taup,0.1387247530090478
pen,1.1624960178500605
B_debt,7.360152653743229
A_dom,22.61830391078948
N_W,7.363749525932807
N_R,2.043068668411043
W1_M_thetaL,3.5768805187402752
W1_M_thetaH,4.233502650579847
W1_F_thetaL,3.5768805187402752
W1_F_thetaH,4.233502650579847
K_over_Y_5yr,0.5703729738781737
C_over_Y,0.4867008084985566
M_over_Y,0.04800143227417082
