metric,Run 1' (baseline),Run 2 (κ=0.30),Run 3 (τm=−0.20),Run 4 (aging C1)
K,4.960011,5.489411,5.176692,7.133237
L,4.987155,5.159769,5.036648,6.319668
Y,7.963786,8.441753,8.138595,10.562033
r_annual_pct,4.208532,3.791415,4.003577,3.434422
r_5yr,0.228900,0.204501,0.216862,0.183928
w,1.021990,1.047086,1.034160,1.069629
tau_p,0.092859,0.054615,0.096235,0.158569
pen,0.365104,0.233206,0.371324,0.375875
B,2.621848,2.926738,2.344259,2.795166
B_over_Y,0.329221,0.346698,0.288042,0.264643
C_over_Y,0.481129,0.465243,0.475784,0.508420
M_over_Y,0.027280,0.024480,0.032169,0.028061
N_W,6.979964,6.950162,7.013692,8.991955
N_R,1.296306,1.265274,1.349931,2.851698
dep_ratio,0.185718,0.182050,0.192471,0.317139
W1_M_theta_L,-3.636005,-3.780588,-3.620329,-4.067393
W1_M_theta_H,-0.420115,-0.363535,-0.386547,-0.929634
W1_F_theta_L,-4.723455,-4.988176,-4.717350,-5.187526
W1_F_theta_H,-1.898706,-1.956344,-1.876178,-2.430321
