sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.26786392,0.23800363,0.00000000,0.00501851,1.00000000
M,theta_L,2,0.38861686,0.26847358,0.17752143,0.00547694,0.98928731
M,theta_L,3,0.47928484,0.27871516,0.46830678,0.00965700,0.98031888
M,theta_L,4,0.56333735,0.28226016,0.79778449,0.01017326,0.96725136
M,theta_L,5,0.67730487,0.29305169,1.13326944,0.02035489,0.95625191
M,theta_L,6,0.78505735,0.29641909,1.50363873,0.03130487,0.93557671
M,theta_L,7,0.87611500,0.29119209,1.86558149,0.05018782,0.90629978
M,theta_L,8,0.97532016,0.28529759,2.15983730,0.06523218,0.86426295
M,theta_L,9,1.07778223,0.27599988,2.38201300,0.07570790,0.80177257
M,theta_L,10,1.10318145,0.00000000,2.51661633,0.09627758,0.72109740
M,theta_L,11,1.22809974,0.00000000,2.54580465,0.12193621,0.64263871
M,theta_L,12,1.35449696,0.00000000,2.45736702,0.15137280,0.56362118
M,theta_L,13,1.45775323,0.00000000,2.18939806,0.17057868,0.49475209
M,theta_L,14,1.46336905,0.00000000,1.68314811,0.09130067,0.43061992
M,theta_L,15,1.27578964,0.00000000,1.04922953,0.07354395,0.32339703
M,theta_L,16,0.91794634,0.00000000,0.41828572,0.00448594,0.20536556
M,theta_L,17,0.61674343,0.00000000,0.07174517,0.00000000,0.07852811
M,theta_H,1,0.76655261,0.32685233,0.00000000,0.00850377,1.00000000
M,theta_H,2,1.01521646,0.36684189,0.36614625,0.00810963,0.99403449
M,theta_H,3,1.20661844,0.38025053,1.02447008,0.01546592,0.98878954
M,theta_H,4,1.37762790,0.38489912,1.78683374,0.01458968,0.98111300
M,theta_H,5,1.59616066,0.39885511,2.58340452,0.03170482,0.97491776
M,theta_H,6,1.79131832,0.40317050,3.50497009,0.04598842,0.96330534
M,theta_H,7,1.94889565,0.39619842,4.47262501,0.07082916,0.94308236
M,theta_H,8,2.12007793,0.38841090,5.37388321,0.10632869,0.90969387
M,theta_H,9,2.29945581,0.37700384,6.20536038,0.15295645,0.86240986
M,theta_H,10,2.10491525,0.00000000,6.93113748,0.20261182,0.80729238
M,theta_H,11,2.36340496,0.00000000,6.85891113,0.26392826,0.75805534
M,theta_H,12,2.63121863,0.00000000,6.48158516,0.28074571,0.71218077
M,theta_H,13,2.84179849,0.00000000,5.71472475,0.26219525,0.65853307
M,theta_H,14,2.84815051,0.00000000,4.53017911,0.27923988,0.57195704
M,theta_H,15,2.48798278,0.00000000,2.95679919,0.17891194,0.47871304
M,theta_H,16,1.65326611,0.00000000,1.36155844,0.08561026,0.33984883
M,theta_H,17,0.88000230,0.00000000,0.32493334,0.00000000,0.16051206
F,theta_L,1,0.17857756,0.21748376,0.00000000,0.00449408,1.00000000
F,theta_L,2,0.23933305,0.23475574,0.16483040,0.00441775,0.98829222
F,theta_L,3,0.30948570,0.24560378,0.39241435,0.00850278,0.97752409
F,theta_L,4,0.36044146,0.24219448,0.65402833,0.00853869,0.96224961
F,theta_L,5,0.43824572,0.24892216,0.89300891,0.01755992,0.94957418
F,theta_L,6,0.52853370,0.25567822,1.13477773,0.02503985,0.92698978
F,theta_L,7,0.61081309,0.25432386,1.37645019,0.03372758,0.89370956
F,theta_L,8,0.69528511,0.24924156,1.58009915,0.04655501,0.84257226
F,theta_L,9,0.76421419,0.23039437,1.72238520,0.06011821,0.77088032
F,theta_L,10,0.87851812,0.00000000,1.74024858,0.08455490,0.68531891
F,theta_L,11,0.97769424,0.00000000,1.82578920,0.11123146,0.60758644
F,theta_L,12,1.07841575,0.00000000,1.82780708,0.13504145,0.53252006
F,theta_L,13,1.17101107,0.00000000,1.70610247,0.11526253,0.46730185
F,theta_L,14,1.21058682,0.00000000,1.44857016,0.08983214,0.39235954
F,theta_L,15,1.14986071,0.00000000,1.06401892,0.09451330,0.30036218
F,theta_L,16,0.98036897,0.00000000,0.59435470,0.03712815,0.21130464
F,theta_L,17,0.74925588,0.00000000,0.19918850,0.00000000,0.11463841
F,theta_H,1,0.54083309,0.30001935,0.00000000,0.00662605,1.00000000
F,theta_H,2,0.68404094,0.32277386,0.35237873,0.00755311,0.99150211
F,theta_H,3,0.81992311,0.33707979,0.84532590,0.01233767,0.98556731
F,theta_H,4,0.91820269,0.33271543,1.44517233,0.01305719,0.97531999
F,theta_H,5,1.06352490,0.34151236,2.00850121,0.02441926,0.96719578
F,theta_H,6,1.22415797,0.35041007,2.62575421,0.03771409,0.94957099
F,theta_H,7,1.36361875,0.34899570,3.30948564,0.06025176,0.92391366
F,theta_H,8,1.50534627,0.34341190,3.98455829,0.09814316,0.88624617
F,theta_H,9,1.62124627,0.32072598,4.61430096,0.13621961,0.83643272
F,theta_H,10,1.55515347,0.00000000,5.05879743,0.18520812,0.78056651
F,theta_H,11,1.76418183,0.00000000,5.16880092,0.21197857,0.73206986
F,theta_H,12,1.99055589,0.00000000,5.10879769,0.21998096,0.67412826
F,theta_H,13,2.20231487,0.00000000,4.82030047,0.24750718,0.60468545
F,theta_H,14,2.32045049,0.00000000,4.21092926,0.29297452,0.53187267
F,theta_H,15,2.24449440,0.00000000,3.22661447,0.28051671,0.46722127
F,theta_H,16,1.87437763,0.00000000,1.96917035,0.15711189,0.38165940
F,theta_H,17,1.37786711,0.00000000,0.80375284,0.00000000,0.21814970
