sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.26208105,0.23602691,0.00000000,0.00567344,1.00000000
M,theta_L,2,0.37875695,0.26626872,0.17136795,0.00651342,0.99034952
M,theta_L,3,0.46888913,0.27643068,0.45433526,0.01097625,0.98341038
M,theta_L,4,0.55256290,0.27991608,0.77316667,0.01182933,0.97206876
M,theta_L,5,0.66564540,0.29053956,1.09502778,0.02246637,0.96327243
M,theta_L,6,0.77342607,0.29374514,1.44546654,0.03409134,0.94494898
M,theta_L,7,0.86557264,0.28837664,1.77866559,0.05436879,0.91803921
M,theta_L,8,0.96640992,0.28233072,2.03200010,0.07286919,0.87820520
M,theta_L,9,1.07121701,0.27301571,2.19331900,0.08087692,0.81847984
M,theta_L,10,1.17901174,0.00000000,2.24738825,0.10219619,0.73805964
M,theta_L,11,1.29952633,0.00000000,2.28078189,0.12416244,0.66254412
M,theta_L,12,1.42041929,0.00000000,2.20488808,0.15028250,0.58034711
M,theta_L,13,1.51811922,0.00000000,1.96425730,0.16993885,0.50546821
M,theta_L,14,1.52280062,0.00000000,1.50304641,0.08926735,0.43506553
M,theta_L,15,1.35948845,0.00000000,0.93245581,0.07080045,0.32363785
M,theta_L,16,1.01577618,0.00000000,0.35537435,0.00420219,0.20352911
M,theta_L,17,0.75420695,0.00000000,0.05847584,0.00000000,0.07687704
M,theta_H,1,0.75172207,0.32426745,0.00000000,0.00872743,1.00000000
M,theta_H,2,0.99595281,0.36391759,0.35432765,0.00871220,0.99442491
M,theta_H,3,1.18555922,0.37717459,0.99281703,0.01602919,0.99009631
M,theta_H,4,1.35596585,0.38167639,1.73068594,0.01530904,0.98361105
M,theta_H,5,1.57306139,0.39534128,2.49771832,0.03297418,0.97850610
M,theta_H,6,1.76777742,0.39938304,3.37867097,0.05107090,0.96816327
M,theta_H,7,1.92531325,0.39221905,4.28741424,0.07518422,0.95145292
M,theta_H,8,2.09621746,0.38414419,5.11325495,0.11063166,0.92063192
M,theta_H,9,2.27569232,0.37243135,5.84628991,0.15675504,0.87424506
M,theta_H,10,2.13437985,0.00000000,6.44558213,0.20394511,0.81862563
M,theta_H,11,2.38663159,0.00000000,6.39731150,0.26526407,0.76889712
M,theta_H,12,2.64815485,0.00000000,6.05896604,0.28932764,0.72035542
M,theta_H,13,2.85676872,0.00000000,5.34236028,0.26354485,0.66646805
M,theta_H,14,2.87475002,0.00000000,4.23235958,0.27369249,0.57663566
M,theta_H,15,2.52375794,0.00000000,2.74623017,0.17773606,0.47857501
M,theta_H,16,1.72445449,0.00000000,1.24504043,0.08491471,0.33727802
M,theta_H,17,0.98643718,0.00000000,0.28083359,0.00000000,0.15875448
F,theta_L,1,0.17482431,0.21567746,0.00000000,0.00464260,1.00000000
F,theta_L,2,0.23473177,0.23281194,0.15972275,0.00507465,0.98865490
F,theta_L,3,0.30307795,0.24358839,0.37990932,0.00950905,0.97932135
F,theta_L,4,0.35458239,0.24020016,0.63324327,0.00975597,0.96608050
F,theta_L,5,0.43253567,0.24682655,0.86224394,0.01943056,0.95541034
F,theta_L,6,0.52316942,0.25344645,1.08931305,0.02994387,0.93517145
F,theta_L,7,0.60669084,0.25209813,1.30636038,0.03873689,0.90596137
F,theta_L,8,0.69339550,0.24702452,1.47555372,0.05043374,0.85829132
F,theta_L,9,0.76618940,0.22825008,1.57016618,0.06393267,0.78846178
F,theta_L,10,0.96658803,0.00000000,1.52190102,0.09151768,0.70284959
F,theta_L,11,1.06297376,0.00000000,1.60998692,0.11424035,0.62816484
F,theta_L,12,1.15968427,0.00000000,1.62043889,0.13727036,0.55092155
F,theta_L,13,1.24836119,0.00000000,1.51592276,0.11941007,0.48078957
F,theta_L,14,1.28919301,0.00000000,1.28620577,0.08970380,0.40189527
F,theta_L,15,1.24210537,0.00000000,0.94282358,0.09090331,0.30516557
F,theta_L,16,1.07698413,0.00000000,0.51532306,0.03635472,0.21182717
F,theta_L,17,0.86894759,0.00000000,0.16833867,0.00000000,0.11248664
F,theta_H,1,0.52970818,0.29765733,0.00000000,0.00814418,1.00000000
F,theta_H,2,0.67103985,0.32021517,0.34127606,0.00795905,0.99401100
F,theta_H,3,0.80491056,0.33433489,0.81955665,0.01428045,0.98860266
F,theta_H,4,0.90269338,0.32992019,1.39896489,0.01489179,0.98060503
F,theta_H,5,1.04711326,0.33848255,1.93924852,0.02771294,0.97456683
F,theta_H,6,1.20636548,0.34707396,2.52233746,0.04151896,0.96020904
F,theta_H,7,1.34516885,0.34533994,3.15638177,0.06359630,0.93756243
F,theta_H,8,1.48652485,0.33938042,3.76340881,0.10068886,0.90206266
F,theta_H,9,1.60360233,0.31645535,4.30173244,0.13974193,0.85267652
F,theta_H,10,1.60031640,0.00000000,4.63001613,0.18805578,0.79540252
F,theta_H,11,1.80228258,0.00000000,4.74465041,0.22283072,0.74595517
F,theta_H,12,2.01962223,0.00000000,4.68857721,0.22299111,0.68843116
F,theta_H,13,2.22531618,0.00000000,4.42596204,0.24265134,0.61599574
F,theta_H,14,2.34285715,0.00000000,3.86979182,0.28564444,0.53707327
F,theta_H,15,2.26873518,0.00000000,2.96158172,0.28013104,0.46597053
F,theta_H,16,1.91455230,0.00000000,1.79603040,0.15218537,0.37901892
F,theta_H,17,1.45759931,0.00000000,0.73196587,0.00000000,0.21385524
