sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.10550839,0.22591173,0.00000000,0.00401429,1.00000000
M,theta_L,2,0.18472105,0.25458332,0.16531281,0.00472795,0.98800560
M,theta_L,3,0.25264834,0.26386477,0.39584674,0.00839419,0.97780464
M,theta_L,4,0.31955745,0.26644783,0.63667508,0.00935547,0.96279951
M,theta_L,5,0.40299578,0.27556588,0.86129639,0.01625169,0.95033584
M,theta_L,6,0.48198182,0.27699002,1.08179808,0.02281885,0.92583212
M,theta_L,7,0.54739433,0.26951072,1.26495096,0.03195816,0.88972479
M,theta_L,8,0.61189130,0.26023893,1.37145733,0.04132333,0.83606906
M,theta_L,9,0.66831447,0.24678033,1.38563284,0.04541098,0.76133463
M,theta_L,10,0.63964068,0.00000000,1.28947132,0.04962883,0.67067451
M,theta_L,11,0.68849587,0.00000000,1.19168665,0.05066889,0.57642869
M,theta_L,12,0.71689370,0.00000000,1.01800039,0.04570774,0.47771408
M,theta_L,13,0.70576289,0.00000000,0.76982839,0.03090634,0.38133337
M,theta_L,14,0.62594369,0.00000000,0.47510127,0.01264263,0.28524678
M,theta_L,15,0.48800705,0.00000000,0.20714865,0.00428185,0.18964862
M,theta_L,16,0.35642769,0.00000000,0.04273994,0.00177861,0.10315218
M,theta_L,17,0.31521123,0.00000000,0.00045767,0.00000000,0.04181614
M,theta_H,1,0.37987007,0.31191926,0.00000000,0.00937968,1.00000000
M,theta_H,2,0.56659072,0.35181347,0.31724165,0.00937125,0.99648942
M,theta_H,3,0.70360630,0.36481435,0.81076518,0.01648590,0.99348823
M,theta_H,4,0.82536523,0.36869817,1.35811551,0.01661283,0.98758024
M,theta_H,5,0.98535939,0.38153972,1.90832270,0.03228235,0.98276587
M,theta_H,6,1.12465154,0.38419962,2.50534362,0.04866482,0.97073371
M,theta_H,7,1.22774223,0.37497878,3.08402851,0.07589344,0.95075276
M,theta_H,8,1.32928426,0.36394633,3.55703640,0.11064738,0.91911707
M,theta_H,9,1.41737677,0.34779407,3.90573505,0.13811854,0.87174364
M,theta_H,10,1.24158371,0.00000000,4.10548319,0.16276502,0.81101981
M,theta_H,11,1.36356682,0.00000000,3.86406699,0.18724465,0.74492087
M,theta_H,12,1.47048877,0.00000000,3.44203545,0.19339001,0.67139525
M,theta_H,13,1.51893998,0.00000000,2.80649760,0.16450041,0.59172989
M,theta_H,14,1.42237242,0.00000000,1.97491221,0.10173833,0.49226379
M,theta_H,15,1.11032674,0.00000000,1.07504958,0.02619074,0.36360726
M,theta_H,16,0.64531543,0.00000000,0.35859207,0.00413354,0.20760694
M,theta_H,17,0.35454729,0.00000000,0.03902505,0.00000000,0.07991514
F,theta_L,1,0.06237379,0.20643438,0.00000000,0.00169485,1.00000000
F,theta_L,2,0.10829664,0.22243392,0.14855912,0.00230799,0.98368674
F,theta_L,3,0.15969226,0.23214452,0.32779011,0.00442802,0.96922766
F,theta_L,4,0.20488139,0.22800236,0.51887007,0.00553087,0.94860472
F,theta_L,5,0.26643930,0.23318728,0.67830345,0.00942170,0.93110086
F,theta_L,6,0.33494646,0.23767903,0.81800661,0.01329522,0.89991074
F,theta_L,7,0.39476900,0.23388799,0.92701912,0.01779768,0.85672130
F,theta_L,8,0.45038805,0.22585236,0.97666025,0.02203369,0.79525793
F,theta_L,9,0.49021131,0.20459620,0.94652802,0.02394090,0.71210098
F,theta_L,10,0.50431956,0.00000000,0.79811535,0.02700468,0.61468089
F,theta_L,11,0.54085222,0.00000000,0.75212117,0.02817000,0.51640895
F,theta_L,12,0.55989704,0.00000000,0.65312196,0.02646253,0.41776987
F,theta_L,13,0.55289743,0.00000000,0.50690695,0.02071844,0.32654205
F,theta_L,14,0.50773887,0.00000000,0.33202993,0.01270832,0.24295537
F,theta_L,15,0.43295881,0.00000000,0.16930386,0.00897366,0.16644808
F,theta_L,16,0.35822533,0.00000000,0.05739404,0.00847643,0.10257675
F,theta_L,17,0.32419826,0.00000000,0.00926908,0.00000000,0.05817231
F,theta_H,1,0.25029106,0.28502662,0.00000000,0.00662533,1.00000000
F,theta_H,2,0.36018538,0.30763433,0.28872149,0.00742947,0.99241850
F,theta_H,3,0.46446942,0.32155352,0.65455242,0.01242238,0.98644985
F,theta_H,4,0.53494952,0.31646450,1.06983697,0.01314055,0.97598363
F,theta_H,5,0.64083386,0.32421085,1.44489610,0.02487222,0.96738342
F,theta_H,6,0.75582311,0.33146982,1.82491115,0.03773136,0.94954593
F,theta_H,7,0.84788100,0.32765079,2.20638755,0.05645515,0.92296567
F,theta_H,8,0.93163734,0.31849281,2.53148970,0.07966397,0.88226394
F,theta_H,9,0.98083503,0.29111887,2.76846399,0.09879993,0.82376946
F,theta_H,10,0.90912373,0.00000000,2.83209319,0.11646963,0.75250207
F,theta_H,11,1.00745939,0.00000000,2.74572292,0.13330609,0.67766194
F,theta_H,12,1.09618934,0.00000000,2.53723507,0.13937793,0.59822003
F,theta_H,13,1.15077422,0.00000000,2.18107001,0.12632479,0.51796878
F,theta_H,14,1.12329766,0.00000000,1.67536537,0.09269356,0.42891477
F,theta_H,15,0.97196125,0.00000000,1.07840911,0.04318027,0.32565267
F,theta_H,16,0.70961856,0.00000000,0.52278724,0.01418438,0.20583631
F,theta_H,17,0.47237113,0.00000000,0.15454647,0.00000000,0.09820046
