sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.12973037,0.23477081,0.00000000,0.00349198,1.00000000
M,theta_L,2,0.21484011,0.26452700,0.17341017,0.00438675,0.98727997
M,theta_L,3,0.28404251,0.27414164,0.41856917,0.00764968,0.97631076
M,theta_L,4,0.34938253,0.27677973,0.67710214,0.00865822,0.95951236
M,theta_L,5,0.43126926,0.28622438,0.92192972,0.01502984,0.94502160
M,theta_L,6,0.50617809,0.28767689,1.17167277,0.02148305,0.91802136
M,theta_L,7,0.56440046,0.27989993,1.39258667,0.03015135,0.87985948
M,theta_L,8,0.62005263,0.27025594,1.54550592,0.03979954,0.82503804
M,theta_L,9,0.66608000,0.25628305,1.61809469,0.04383754,0.74996548
M,theta_L,10,0.60210564,0.00000000,1.59601232,0.04767076,0.65973819
M,theta_L,11,0.64478104,0.00000000,1.44819412,0.04992562,0.56605697
M,theta_L,12,0.66698294,0.00000000,1.22250914,0.04572102,0.46974410
M,theta_L,13,0.64817888,0.00000000,0.92104878,0.03237148,0.37670668
M,theta_L,14,0.55802866,0.00000000,0.57350633,0.01424827,0.28496203
M,theta_L,15,0.40676532,0.00000000,0.25960831,0.00631835,0.19225403
M,theta_L,16,0.25813134,0.00000000,0.06071290,0.00274040,0.10834810
M,theta_L,17,0.20279687,0.00000000,0.00175218,0.00000000,0.04603981
M,theta_H,1,0.44165081,0.32415110,0.00000000,0.00923683,1.00000000
M,theta_H,2,0.64183294,0.36561831,0.33960909,0.00884837,0.99609918
M,theta_H,3,0.78412439,0.37914898,0.87906598,0.01604187,0.99217930
M,theta_H,4,0.90754311,0.38322658,1.48075156,0.01626492,0.98530567
M,theta_H,5,1.07217532,0.39663512,2.08825651,0.03143255,0.97950907
M,theta_H,6,1.21018040,0.39936895,2.75656862,0.04783119,0.96616531
M,theta_H,7,1.30796036,0.38993284,3.41488898,0.07456581,0.94521604
M,theta_H,8,1.40044255,0.37849834,3.97064316,0.11003811,0.91284203
M,theta_H,9,1.47559271,0.36174298,4.40869603,0.13720662,0.86539178
M,theta_H,10,1.24780084,0.00000000,4.70878357,0.16151213,0.80482963
M,theta_H,11,1.36080716,0.00000000,4.37571224,0.18733401,0.73921889
M,theta_H,12,1.45817273,0.00000000,3.85859429,0.19306592,0.66728270
M,theta_H,13,1.49584249,0.00000000,3.12696654,0.16358955,0.58918330
M,theta_H,14,1.38722032,0.00000000,2.20212736,0.10148919,0.49114163
M,theta_H,15,1.06197617,0.00000000,1.21727107,0.02788344,0.36395831
M,theta_H,16,0.57928906,0.00000000,0.42833537,0.00610667,0.21096734
M,theta_H,17,0.25770294,0.00000000,0.05648834,0.00000000,0.08514442
F,theta_L,1,0.07614858,0.21452965,0.00000000,0.00153763,1.00000000
F,theta_L,2,0.12804035,0.23113338,0.15995344,0.00189431,0.98326291
F,theta_L,3,0.18024100,0.24117249,0.34976103,0.00376203,0.96791824
F,theta_L,4,0.22270866,0.23679268,0.55369560,0.00474228,0.94569966
F,theta_L,5,0.28138495,0.24208669,0.72586995,0.00830958,0.92602911
F,theta_L,6,0.34561102,0.24665905,0.88403881,0.01171974,0.89227843
F,theta_L,7,0.39871137,0.24264107,1.02050730,0.01594396,0.84607477
F,theta_L,8,0.44593131,0.23425399,1.10742275,0.02019854,0.78194025
F,theta_L,9,0.47461695,0.21218794,1.12666996,0.02185934,0.69823637
F,theta_L,10,0.45337433,0.00000000,1.04130445,0.02494762,0.60107450
F,theta_L,11,0.48375373,0.00000000,0.95441618,0.02679941,0.50328780
F,theta_L,12,0.49729529,0.00000000,0.81408183,0.02604821,0.40689646
F,theta_L,13,0.48287315,0.00000000,0.62553263,0.02194319,0.31954867
F,theta_L,14,0.42794698,0.00000000,0.40974416,0.01517081,0.24076098
F,theta_L,15,0.34000242,0.00000000,0.21212078,0.01162207,0.16904194
F,theta_L,16,0.25764872,0.00000000,0.07754660,0.00968077,0.10795000
F,theta_L,17,0.21635201,0.00000000,0.01526537,0.00000000,0.06164892
F,theta_H,1,0.29558362,0.29620387,0.00000000,0.00575198,1.00000000
F,theta_H,2,0.41136611,0.31968153,0.30881087,0.00682325,0.99053308
F,theta_H,3,0.51892450,0.33415101,0.70432266,0.01171538,0.98341163
F,theta_H,4,0.58613905,0.32887242,1.15735572,0.01262939,0.97153645
F,theta_H,5,0.69145990,0.33695031,1.56873540,0.02373922,0.96159080
F,theta_H,6,0.80514437,0.34452618,1.99520994,0.03616667,0.94192684
F,theta_H,7,0.89149709,0.34059328,2.43669923,0.05432202,0.91342860
F,theta_H,8,0.96658866,0.33110565,2.83270398,0.07794122,0.87121227
F,theta_H,9,1.00097002,0.30267924,3.15196992,0.09614869,0.81248742
F,theta_H,10,0.89248567,0.00000000,3.30581712,0.11427748,0.74122590
F,theta_H,11,0.98301823,0.00000000,3.15549426,0.13175730,0.66728266
F,theta_H,12,1.06415094,0.00000000,2.88088388,0.13667156,0.58963949
F,theta_H,13,1.11024458,0.00000000,2.45717569,0.12374988,0.51124002
F,theta_H,14,1.07336060,0.00000000,1.88342062,0.09256563,0.42421571
F,theta_H,15,0.91105638,0.00000000,1.21994130,0.04450910,0.32399191
F,theta_H,16,0.63956454,0.00000000,0.60572341,0.01595704,0.20761387
F,theta_H,17,0.39035108,0.00000000,0.18872600,0.00000000,0.10133996
