sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.11127541,0.22670967,0.00000000,0.00476218,1.00000000
M,theta_L,2,0.19051580,0.25553192,0.16192012,0.00527098,0.98901608
M,theta_L,3,0.25733371,0.26487981,0.38862511,0.00949503,0.98001228
M,theta_L,4,0.32243460,0.26752410,0.62473631,0.01070936,0.96649796
M,theta_L,5,0.40351996,0.27673294,0.84363963,0.01928060,0.95565339
M,theta_L,6,0.47964734,0.27828866,1.05841870,0.02723728,0.93384175
M,theta_L,7,0.54188010,0.27094702,1.23651851,0.03812126,0.90098881
M,theta_L,8,0.60320718,0.26183725,1.33941248,0.05076908,0.85113655
M,theta_L,9,0.65671616,0.24856647,1.35156267,0.05622519,0.78112744
M,theta_L,10,0.62743226,0.00000000,1.25685583,0.06277681,0.69450597
M,theta_L,11,0.67464814,0.00000000,1.15979776,0.06476847,0.60461466
M,theta_L,12,0.70350593,0.00000000,0.98977642,0.05782261,0.50882933
M,theta_L,13,0.69447486,0.00000000,0.74794569,0.04156173,0.41299783
M,theta_L,14,0.61907187,0.00000000,0.45947151,0.01758443,0.31459028
M,theta_L,15,0.48476555,0.00000000,0.19729862,0.00625461,0.21240351
M,theta_L,16,0.35680523,0.00000000,0.03837714,0.00274868,0.11804354
M,theta_L,17,0.32039051,0.00000000,0.00028088,0.00000000,0.04954925
M,theta_H,1,0.39154957,0.31302098,0.00000000,0.01029424,1.00000000
M,theta_H,2,0.57796154,0.35305127,0.31290772,0.01028567,0.99759417
M,theta_H,3,0.71295385,0.36607171,0.80169462,0.01745176,0.99567205
M,theta_H,4,0.83186990,0.36992853,1.34279903,0.01755787,0.99084359
M,theta_H,5,0.98864455,0.38276431,1.88270770,0.03500361,0.98703964
M,theta_H,6,1.12342027,0.38541806,2.46664017,0.05273537,0.97705966
M,theta_H,7,1.22056476,0.37617279,3.02868440,0.08252492,0.95962630
M,theta_H,8,1.31489433,0.36514774,3.48191170,0.12233289,0.93120671
M,theta_H,9,1.39436584,0.34905847,3.80825713,0.15332664,0.88818771
M,theta_H,10,1.20747160,0.00000000,3.98565804,0.18246746,0.83165528
M,theta_H,11,1.31897449,0.00000000,3.72246428,0.21107728,0.77003659
M,theta_H,12,1.41555269,0.00000000,3.28906530,0.21439507,0.70028596
M,theta_H,13,1.45526151,0.00000000,2.66117986,0.18891589,0.62173186
M,theta_H,14,1.35703283,0.00000000,1.85295152,0.11516149,0.52297210
M,theta_H,15,1.05562202,0.00000000,0.99524168,0.03374721,0.38967000
M,theta_H,16,0.61566749,0.00000000,0.32130355,0.00554664,0.22638386
M,theta_H,17,0.35236167,0.00000000,0.03188452,0.00000000,0.08878344
F,theta_L,1,0.06531826,0.20716352,0.00000000,0.00192024,1.00000000
F,theta_L,2,0.11275188,0.22324362,0.14767159,0.00296086,0.98409598
F,theta_L,3,0.16350820,0.23305741,0.32315055,0.00538417,0.97109663
F,theta_L,4,0.20717694,0.22897946,0.50966104,0.00661817,0.95201350
F,theta_L,5,0.26696932,0.23426176,0.66383206,0.01148703,0.93573217
F,theta_L,6,0.33313392,0.23889084,0.79837336,0.01630196,0.90701251
F,theta_L,7,0.39040509,0.23522348,0.90354390,0.02230017,0.86647666
F,theta_L,8,0.44368020,0.22733222,0.95109367,0.02833411,0.80789878
F,theta_L,9,0.48117338,0.20614751,0.92113100,0.03082744,0.72854396
F,theta_L,10,0.49780068,0.00000000,0.77599763,0.03596896,0.63426574
F,theta_L,11,0.53317502,0.00000000,0.73281906,0.03835801,0.54011328
F,theta_L,12,0.55295866,0.00000000,0.63868530,0.03644146,0.44448471
F,theta_L,13,0.54840004,0.00000000,0.49808973,0.02915285,0.35471684
F,theta_L,14,0.50694889,0.00000000,0.32797646,0.01854314,0.26950322
F,theta_L,15,0.43545252,0.00000000,0.16749594,0.01311572,0.18940705
F,theta_L,16,0.36296097,0.00000000,0.05568741,0.00974504,0.11990749
F,theta_L,17,0.32833481,0.00000000,0.00813386,0.00000000,0.06534535
F,theta_H,1,0.25944098,0.28603336,0.00000000,0.00795844,1.00000000
F,theta_H,2,0.36818639,0.30875453,0.28451710,0.00814329,0.99401485
F,theta_H,3,0.47110743,0.32273067,0.64608928,0.01382642,0.98896046
F,theta_H,4,0.53888833,0.31763781,1.05547017,0.01437376,0.97996886
F,theta_H,5,0.64185813,0.32540731,1.42174989,0.02714390,0.97293389
F,theta_H,6,0.75336127,0.33270230,1.79206638,0.04151371,0.95705457
F,theta_H,7,0.84105580,0.32891248,2.16283717,0.06316712,0.93293227
F,theta_H,8,0.91975480,0.31982274,2.47592799,0.09054211,0.89557342
F,theta_H,9,0.96297911,0.29249505,2.70014858,0.11217605,0.84152146
F,theta_H,10,0.88516558,0.00000000,2.75173572,0.13396375,0.77437013
F,theta_H,11,0.97734642,0.00000000,2.65363016,0.15490971,0.70416358
F,theta_H,12,1.06049246,0.00000000,2.43790657,0.16001016,0.62886065
F,theta_H,13,1.11060531,0.00000000,2.08352906,0.14771042,0.55049932
F,theta_H,14,1.08190252,0.00000000,1.58852095,0.10875119,0.46134001
F,theta_H,15,0.93495475,0.00000000,1.01296202,0.05386493,0.35459265
F,theta_H,16,0.68427102,0.00000000,0.48272848,0.01815518,0.22823265
F,theta_H,17,0.45936246,0.00000000,0.13765529,0.00000000,0.10995600
