sex,skill,age_period,c,l,a,m,h
M,theta_L,1,0.11002622,0.22011708,0.00000000,0.00271911,1.00000000
M,theta_L,2,0.18225814,0.24795464,0.13946621,0.00360507,0.98631128
M,theta_L,3,0.24120159,0.25690338,0.33231805,0.00615523,0.97445514
M,theta_L,4,0.29700727,0.25927731,0.52899827,0.00753052,0.95614541
M,theta_L,5,0.36575136,0.26805004,0.70492272,0.01276614,0.94093777
M,theta_L,6,0.42860240,0.26928418,0.87502260,0.01773670,0.91320481
M,theta_L,7,0.47807621,0.26180972,1.00962079,0.02406274,0.87325306
M,theta_L,8,0.52569401,0.25253466,1.07425902,0.03058426,0.81496946
M,theta_L,9,0.56509541,0.23917196,1.05658681,0.03181872,0.73545422
M,theta_L,10,0.54854857,0.00000000,0.94342541,0.03504844,0.63964356
M,theta_L,11,0.57901384,0.00000000,0.85689826,0.03533557,0.54229377
M,theta_L,12,0.59445145,0.00000000,0.71887674,0.03129166,0.44222131
M,theta_L,13,0.58349317,0.00000000,0.53322388,0.02113201,0.34697302
M,theta_L,14,0.52737074,0.00000000,0.32112714,0.00975260,0.25590276
M,theta_L,15,0.43372101,0.00000000,0.13396130,0.00378779,0.16949618
M,theta_L,16,0.34652076,0.00000000,0.02418908,0.00161309,0.09271076
M,theta_L,17,0.32407739,0.00000000,0.00004809,0.00000000,0.03824337
M,theta_H,1,0.37336168,0.30391851,0.00000000,0.00856281,1.00000000
M,theta_H,2,0.53797681,0.34279113,0.26814165,0.00860054,0.99532335
M,theta_H,3,0.65396193,0.35547878,0.69483153,0.01525950,0.99127468
M,theta_H,4,0.75382796,0.35928555,1.16375121,0.01542541,0.98398638
M,theta_H,5,0.88656825,0.37183615,1.62749435,0.02830940,0.97783217
M,theta_H,6,0.99805345,0.37442044,2.13108731,0.04315855,0.96256762
M,theta_H,7,1.07521165,0.36541745,2.61338590,0.06588227,0.93887894
M,theta_H,8,1.14993463,0.35459233,2.99640848,0.09433459,0.90206937
M,theta_H,9,1.21132416,0.33869602,3.26694483,0.11509239,0.84831199
M,theta_H,10,1.03622089,0.00000000,3.40578917,0.13443812,0.78016667
M,theta_H,11,1.12784621,0.00000000,3.17332751,0.15142499,0.70764479
M,theta_H,12,1.20908527,0.00000000,2.80344464,0.15342854,0.62834030
M,theta_H,13,1.24903611,0.00000000,2.27035527,0.12784193,0.54468810
M,theta_H,14,1.18087624,0.00000000,1.58531018,0.07592195,0.44569982
M,theta_H,15,0.93928962,0.00000000,0.84823316,0.01734114,0.32403693
M,theta_H,16,0.56665380,0.00000000,0.26753369,0.00356949,0.18282963
M,theta_H,17,0.34703078,0.00000000,0.02325873,0.00000000,0.07093704
F,theta_L,1,0.06299494,0.20113932,0.00000000,0.00110350,1.00000000
F,theta_L,2,0.10764803,0.21662717,0.13169577,0.00161801,0.98195701
F,theta_L,3,0.15230895,0.22599513,0.28303902,0.00306713,0.96615509
F,theta_L,4,0.18908517,0.22182733,0.44054895,0.00381121,0.94303982
F,theta_L,5,0.23882791,0.22670889,0.56511907,0.00667725,0.92222422
F,theta_L,6,0.29309895,0.23087966,0.67084007,0.00959627,0.88713201
F,theta_L,7,0.33927185,0.22700115,0.74966779,0.01286754,0.84014875
F,theta_L,8,0.38135448,0.21899940,0.77605114,0.01579626,0.77566587
F,theta_L,9,0.41001101,0.19820008,0.73326055,0.01704051,0.68968806
F,theta_L,10,0.43971843,0.00000000,0.58772952,0.02052730,0.59002508
F,theta_L,11,0.46841088,0.00000000,0.56100410,0.02253975,0.49216368
F,theta_L,12,0.48566666,0.00000000,0.49334665,0.02213269,0.39629359
F,theta_L,13,0.48782150,0.00000000,0.38887008,0.01868684,0.30920908
F,theta_L,14,0.46788326,0.00000000,0.25793833,0.01272652,0.23080942
F,theta_L,15,0.41708707,0.00000000,0.12477953,0.00664203,0.15999172
F,theta_L,16,0.35147632,0.00000000,0.03010196,0.00246612,0.09467120
F,theta_L,17,0.32426466,0.00000000,0.00023745,0.00000000,0.04160856
F,theta_H,1,0.24640682,0.27771567,0.00000000,0.00505997,1.00000000
F,theta_H,2,0.34222750,0.29970209,0.25100335,0.00574558,0.98947939
F,theta_H,3,0.43066023,0.31324015,0.56864483,0.01036060,0.98057134
F,theta_H,4,0.48548490,0.30826925,0.92707513,0.01152788,0.96719341
F,theta_H,5,0.57061492,0.31582546,1.24335668,0.02162923,0.95641691
F,theta_H,6,0.66210232,0.32288125,1.56433666,0.03253182,0.93553214
F,theta_H,7,0.73262340,0.31910627,1.88924631,0.04798173,0.90533870
F,theta_H,8,0.79529704,0.31006504,2.16470419,0.06744249,0.86048423
F,theta_H,9,0.82692767,0.28325532,2.36230575,0.08342910,0.79763901
F,theta_H,10,0.75838878,0.00000000,2.40359404,0.09941159,0.72251611
F,theta_H,11,0.84005166,0.00000000,2.34015954,0.11471850,0.64586033
F,theta_H,12,0.92033346,0.00000000,2.17548191,0.12140064,0.56666319
F,theta_H,13,0.98743387,0.00000000,1.88179092,0.11239676,0.48869993
F,theta_H,14,1.00859620,0.00000000,1.44028412,0.07620546,0.40451485
F,theta_H,15,0.90996713,0.00000000,0.88059739,0.02392897,0.30477846
F,theta_H,16,0.62172555,0.00000000,0.33660829,0.00528659,0.18265043
F,theta_H,17,0.36121178,0.00000000,0.03759867,0.00000000,0.07495273
