field,value
label,Baseline κ=0.50 (warm-start verify vs aging RUN 1)
K,14.382379286831709
L,15.875792766195897
Y,24.513748029812184
r_annual,4.805071488287926
w,0.9882214368838157
τp,0.14500425664711555
pen,1.0642936111242958
B,6.933999468929187
B_over_Y,0.282861660342452
C_over_Y,0.4774101799175036
M_over_Y,0.05215199601137675
N_W,7.370521900674807
N_R,2.137514098617271
depratio,0.2900085132942311
W_MθL,3.482415569608886
W_MθH,4.1434254968268585
W_FθL,3.3210491916827634
W_FθH,3.965223963406247
DIFF,9.218321744162324e-5
euler_max,-4.8339284657481265
