field,value
label,τm=−0.20 (health subsidy)
K,15.038977544486848
L,15.930845896024074
Y,24.966141635380733
r_annual,4.539158301302093
w,1.0029806798037915
τp,0.14902881773330273
pen,1.0837108977473764
B,5.269848202386806
B_over_Y,0.21107980076980126
C_over_Y,0.4685884145423068
M_over_Y,0.05857904786359143
N_W,7.372044832185665
N_R,2.1972942512350677
depratio,0.29805763546660546
W_MθL,3.551820290243765
W_MθH,4.206188707750496
W_FθL,3.404145477189082
W_FθH,4.039573335734538
DIFF,7.761626002508698e-5
euler_max,-4.966646614813608
