age_period,theta_idx,theta_value,c,l,a,m,h,m_positive_share
1,1,-0.2,0.32459647119583723,0.24470458234421835,0.0,0.004506063964088648,1.0000000000000002,1.0
1,2,0.2,0.545718349688234,0.2843061631200356,0.0,0.0046705801587575415,1.0000000000000002,1.0
2,1,-0.2,0.48662007397340623,0.2846229626313381,0.1764922970371046,0.004529738510703414,0.999604477266529,1.0
2,2,0.2,0.7885770927203942,0.3288007627394107,0.2366535296502267,0.0047081542932638455,0.999886935714326,1.0
3,1,-0.2,0.6759688465943615,0.3174223077518497,0.5246758392408318,0.010273705725317162,0.9995170283941582,1.0
3,2,0.2,1.0613401604698494,0.3662307452541615,0.7082908461827975,0.010625302799846264,0.9997660870248654,1.0
4,1,-0.2,0.8335704442782289,0.3290748713219824,1.0567662755160931,0.010696680598420796,0.9988847351523127,1.0
4,2,0.2,1.2797405159110735,0.3797293533554673,1.455783213054861,0.010395560404528168,0.9995657008315715,1.0
5,1,-0.2,1.0042595132351648,0.3403510925782408,1.6590154039158542,0.02795859205304405,0.9985784176257598,1.0
5,2,0.2,1.5230541453521593,0.3927628851374179,2.322075980535842,0.029457823238563382,0.9993385642810808,1.0
6,1,-0.2,1.1643328992018347,0.3412436448456379,2.3205783351294476,0.05419827666262422,0.9969707261216689,1.0
6,2,0.2,1.741024208842437,0.39370650667742296,3.29323581639472,0.05723772531688605,0.9983735202285725,1.0
7,1,-0.2,1.3361843983024626,0.3415718112720805,2.9331294229646594,0.10881404273147877,0.9939767141939515,1.0
7,2,0.2,1.961446759657272,0.39393849132153985,4.220583494948727,0.11301477939172093,0.996824814702418,1.0
8,1,-0.2,1.5100403734132573,0.33966655198279316,3.438027521574312,0.1984619429432319,0.989713262481356,1.0
8,2,0.2,2.1778116390617583,0.39147361267619113,5.053451029361054,0.21211585375496708,0.9939343897369394,1.0
9,1,-0.2,1.6914750376398051,0.3374367371632321,3.7498299141488256,0.28654833248430056,0.9809093026427335,1.0
9,2,0.2,2.3976497400694594,0.38852464408139703,5.692340342000882,0.30663211748090763,0.9877782615078047,1.0
10,1,-0.2,1.6336698370088736,0.0,3.829986721494874,0.39130407691706914,0.9573268281524143,1.0
10,2,0.2,2.1676624359775936,0.0,6.109614325369465,0.43275220769027284,0.9687873920241059,1.0
11,1,-0.2,1.8198508453329583,0.0,3.647222182158486,0.41125525800800733,0.9315202246921481,1.0
11,2,0.2,2.393032552421529,0.0,5.794910316159597,0.4636611281770715,0.949609732742526,1.0
12,1,-0.2,1.9915514981642848,0.0,3.242148342573424,0.3607082367252925,0.8628550642794671,1.0
12,2,0.2,2.6071629375728302,0.0,5.202460355340761,0.497764868385967,0.8856141678194327,1.0
13,1,-0.2,2.095212870335548,0.0,2.655561044585632,0.295320487587324,0.7490026241780973,1.0
13,2,0.2,2.742209054776895,0.0,4.282668055880982,0.3904833268701357,0.7923668913081876,1.0
14,1,-0.2,2.047263485167766,0.0,1.9046072150656417,0.21880372461716696,0.6008665584270942,1.0
14,2,0.2,2.6773196726333657,0.0,3.15497518075406,0.364718672254671,0.6524081807548652,1.0
15,1,-0.2,1.7797103591163312,0.0,1.0635790972684052,0.10665500139065066,0.4364148546472231,1.0
15,2,0.2,2.328397087100266,0.0,1.8225030993652582,0.15613510283640927,0.4937957623432919,1.0
16,1,-0.2,1.3804431676763067,0.0,0.3574914342642107,0.0,0.25500523029155536,0.0
16,2,0.2,1.6878875599069547,0.0,0.6483588679896188,0.0,0.30083869084007797,0.0
