age_period,theta_idx,theta_value,c,l,a,m,h,m_positive_share
1,1,-0.2,0.3384878675204965,0.24570958145948202,0.0,0.004530380794112808,1.0000000000000002,1.0
1,2,0.2,0.564161950193625,0.2854738055060607,0.0,0.004693793519072236,1.0000000000000002,1.0
2,1,-0.2,0.5016682450239885,0.2857915080202615,0.16815580950437736,0.004534705468844983,0.9996142169186846,1.0
2,2,0.2,0.8135953012185285,0.33008659050652145,0.22699070158065704,0.004685141826592209,0.9998973313779631,1.0
3,1,-0.2,0.6954603274417488,0.3186605205295863,0.5069184000496463,0.01045129386446908,0.9995300691880047,1.0
3,2,0.2,1.085738609847484,0.3676703148465676,0.6811395440764239,0.010596303926815154,0.9997697009732539,1.0
4,1,-0.2,0.8508080916516945,0.3303605518778596,1.0224691655960632,0.010599299122574218,0.9989703819882088,1.0
4,2,0.2,1.302409869691026,0.3812239754874148,1.4098976759378592,0.010477304387245406,0.9995761169560862,1.0
5,1,-0.2,1.019212075379681,0.3416772772152652,1.6032531945612365,0.027834788572694558,0.9986397727081422,1.0
5,2,0.2,1.544700146531957,0.3943105404885422,2.2495304048539806,0.029726883100825968,0.9993588699895285,1.0
6,1,-0.2,1.1767808342040629,0.3425612263483046,2.239767014675962,0.057036019778150815,0.9970451690956799,1.0
6,2,0.2,1.756747540490247,0.3952532920981087,3.1860700569917437,0.057499815913336805,0.9984649418731602,1.0
7,1,-0.2,1.342559318961557,0.342873637964401,2.8198945684209695,0.10874977264320962,0.9947883148592079,1.0
7,2,0.2,1.9689203360104455,0.39546877520655516,4.0729266698007205,0.11368010004319795,0.9972199572863617,1.0
8,1,-0.2,1.5085573031745274,0.34090541976975414,3.298424844757726,0.20305418811162299,0.9904771043262768,1.0
8,2,0.2,2.1752926748766326,0.392956687012461,4.866090169314011,0.21392848754925423,0.9945353308387105,1.0
9,1,-0.2,1.678638554605176,0.3385824723562187,3.5931330413798177,0.29995599603606266,0.9832291409736675,1.0
9,2,0.2,2.3810782356776725,0.3899116225159147,5.475387627814536,0.32809775423981374,0.9891705168094973,1.0
10,1,-0.2,1.5993252278184968,0.0,3.666643665812441,0.46913930028238393,0.9633808595914122,1.0
10,2,0.2,2.1242948620467503,0.0,5.8585293988787495,0.47985306983770953,0.9749142649696256,1.0
11,1,-0.2,1.764282395599916,0.0,3.4523683053865284,0.48526709438786125,0.9555470918139113,1.0
11,2,0.2,2.325058350140072,0.0,5.507392184089376,0.5503747235045138,0.9664587890179012,1.0
12,1,-0.2,1.9138544510579223,0.0,3.032114416042347,0.4448933560735685,0.8988963725013427,1.0
12,2,0.2,2.506651129901005,0.0,4.855069037438907,0.5289215150045494,0.9178850570060769,1.0
13,1,-0.2,2.000767618465996,0.0,2.434227208730746,0.33870185345831283,0.7960258056685101,1.0
13,2,0.2,2.614514538561509,0.0,3.953455437082488,0.44765914723640504,0.8258775110804293,1.0
14,1,-0.2,1.9513080249136305,0.0,1.7213442298112327,0.2647265880391237,0.64321551084472,1.0
14,2,0.2,2.532296822622888,0.0,2.851032100292178,0.3711014868461745,0.6874431620954556,1.0
15,1,-0.2,1.7000326176923939,0.0,0.9347175931538333,0.10949499313330092,0.47243868044530524,1.0
15,2,0.2,2.199950200416803,0.0,1.636113302441991,0.1714718262543967,0.5193644143122871,1.0
16,1,-0.2,1.343951789593735,0.0,0.31098238053062033,0.0,0.27584492838030084,0.0
16,2,0.2,1.6213084016468355,0.0,0.5757306972105722,0.0,0.3182258643981576,0.0
