metric,value
K,15.237457425191835
L,17.60362356241733
K_over_L,0.865586415840139)
Y,26.739532575086837
C,13.027023607692273
M,1.2888859659515421
G,5.080511189266499
deltaK,5.319638755619842
Lambda_void,1.2470907998488598
r_5yr,0.2826319937269456
w,0.9721464894643305
taup,0.13807493049823913
pen,1.1631293597704926
B_debt,7.354792223461727
A_dom,22.59213152898107
W1_theta_L,3.5649383227884424
W1_theta_H,4.224920106260756
K_over_Y_5yr,0.5698475611869349
C_over_Y,0.4871821738510688
M_over_Y,0.048201514455506765
