band,sex,m,share_2024,share_2050
100+,female,1913.4574583629,0.000143733109093519,0.00986118595799175
20-24,female,294.960839991832,0.0583943922843916,0.0293856041976499
25-29,female,363.092822353028,0.0534770694083658,0.0299804351807707
30-34,female,446.080030603618,0.0562157618263526,0.0305873068861478
35-39,female,472.633408171375,0.054343527691869,0.0312064630451884
40-44,female,440.898081072843,0.0527568467449478,0.0318381523229734
45-49,female,629.102357273712,0.0497097559946122,0.0324826284181268
50-54,female,677.153623507748,0.0501756234408314,0.0331401501647052
55-59,female,804.723928226066,0.0411105943580389,0.0337230730838972
60-64,female,915.637709734777,0.0375362634696959,0.0342474379920319
65-69,female,1107.36396537568,0.0292823482495408,0.0346751342750466
70-74,female,1425.40860526071,0.0212013732223205,0.0349525128434652
75-79,female,1610.09640692414,0.0143657700095635,0.0349967540582551
80-84,female,1335.06561544379,0.00941976279643703,0.0346482944302205
85-89,female,1290.06516288711,0.00534018050000058,0.0333700735148299
90-94,female,1480.06941699669,0.00215841016922591,0.0298749781576884
95-99,female,1940.69378012679,0.00068009350938183,0.0220825536441362
100+,male,1336.303763341,2.70271187106129e-05,0.00400946034429175
20-24,male,232.181254346795,0.055515959652627,0.0293856041976499
25-29,male,258.678538544427,0.0476325161596867,0.0299804351807707
30-34,male,344.074731566755,0.0507205702343891,0.0305873068861478
35-39,male,354.017521867395,0.0460443225838993,0.0312064630451884
40-44,male,328.746114360033,0.0458658212554275,0.0318381523229734
45-49,male,413.241445461829,0.0420659529542393,0.0324826284181268
50-54,male,540.558005635956,0.0431689819434934,0.0331401501647052
55-59,male,571.543696555188,0.0344406907397473,0.0335573992738801
60-64,male,788.424559195394,0.030662065976311,0.0337813290078993
65-69,male,976.356384813921,0.025263615898152,0.0337172458622487
70-74,male,809.582454883809,0.0174530344030196,0.0332473671254241
75-79,male,1117.21118728374,0.0119621360076908,0.0322209584278525
80-84,male,1069.18961763679,0.00730749892989849,0.0303715341275204
85-89,male,1170.9816843021,0.00377979260189905,0.0268899307164404
90-94,male,2374.21092910265,0.00146015399117971,0.0206332946363389
95-99,male,1094.17359175665,0.000318352764960442,0.0118980020894168
