clave,descripcion,year
J001,"Honorarios por servicios profesionales: cirugía, anestesia, etcétera, durante el parto",2018
J002,"Hospitalización, durante el parto",2018
J003,"Análisis clínicos y estudios médicos: Rayos X, ultrasonido, etcétera, durante el parto",2018
J004,"Medicamentos recetados y material de curación, durante el parto",2018
J005,"Servicios de partera, durante el parto",2018
J006,"Otros: servicio de ambulancia, etcétera, durante el parto",2018
J007,"Consultas médicas, durante el embarazo",2018
J008,"Consultas, placas, puentes dentales y otros, durante el embarazo",2018
J009,"Medicamentos recetados, durante el embarazo",2018
J010,"Vitaminas y complementos alimenticios, durante el embarazo",2018
J011,"Análisis clínicos y estudios médicos: rayos X, ultrasonidos, durante el embarazo",2018
J012,Hospitalización durante el embarazo (no parto),2018
J013,"Servicios de partera, durante el embarazo",2018
J014,"Hierbas medicinales, remedios caseros, etcétera, durante el embarazo",2018
J015,"Otros servicios: ambulancia, aplicación de inyecciones, vacunas, etcétera, durante el embarazo",2018
J016,Consultas médico general,2018
J017,"Consultas médico especialista (pediatría y ginecología, etcétera )",2018
J018,"Consultas dentales (placas dentales o prótesis dentales, etcétera )",2018
J019,Análisis clínicos y estudios médicos: rayos X,2018
J020,"Medicamentos recetados para: diarrea, infecciones y malestar estomacal",2018
J021,Medicamentos recetados para: gripe,2018
J022,Medicamentos recetados para: piel,2018
J023,Medicamentos recetados para: alergias,2018
J024,Medicamentos recetados para: tos,2018
J025,Medicamentos recetados para: infecciones de la garganta,2018
J026,Medicamentos recetados para: fiebre,2018
J027,Medicamentos recetados para: inflamación,2018
J028,Medicamentos recetados para: otras infecciones (antibióticos),2018
J029,Medicamentos recetados para: dolor de cabeza y migraña,2018
J030,Medicamentos recetados para: otro tipo de dolores,2018
J031,Medicamentos recetados para: presión arterial,2018
J032,Medicamentos recetados para: diabetes,2018
J033,Medicamentos recetados para: vitaminas,2018
J034,Medicamentos recetados para: anticonceptivos,2018
J035,Otros medicamentos recetados,2018
J036,Consultas médicas para el control de peso,2018
J037,Medicamentos y productos para el control de peso,2018
J038,Tratamiento para el control de peso,2018
J039,"Honorarios por servicios profesionales: cirujano, anestesista, etcétera",2018
J040,Hospitalización (no incluye parto ni embarazo),2018
J041,"Análisis clínicos y estudios médicos (rayos X, electros, etcétera )",2018
J042,Medicamentos recetados y material de curación durante la atención hospitalaria (no incluye parto),2018
J043,"Otros: servicios de ambulancia, oxígeno, suero, sondas, bolsas de diálisis y de orina, cómodos, etcétera",2018
J044,"Medicamentos sin receta para: diarrea, infecciones y malestar estomacal",2018
J045,Medicamentos sin receta para: gripe,2018
J046,Medicamentos sin receta para: piel,2018
J047,Medicamentos sin receta para: alergias,2018
J048,Medicamentos sin receta para: tos,2018
J049,Medicamentos sin receta para: infecciones de la garganta,2018
J050,Medicamentos sin receta para: fiebre,2018
J051,Medicamentos sin receta para: inflamación,2018
J052,Medicamentos sin receta para: otras infecciones (antibióticos),2018
J053,Medicamentos sin receta para: dolor de cabeza y migraña,2018
J054,Medicamentos sin receta para: otro tipo de dolores,2018
J055,Medicamentos sin receta para: vitaminas,2018
J056,Medicamentos sin receta para: presión arterial,2018
J057,Medicamentos sin receta para: diabetes,2018
J058,Medicamentos sin receta para: anticonceptivos,2018
J059,Otros medicamentos sin receta,2018
J060,"Algodón, gasas, vendas, jeringas, etcétera",2018
J061,"Alcohol, merthiolate, solución antiséptica, botiquín de primeros auxilios, etcétera",2018
J062,"Consultas con el curandero, huesero, quiropráctico, etcétera",2018
J063,"Medicamentos naturistas, hierbas medicinales, remedios caseros, Omnilife, Herbalife",2018
J064,Medicamentos homeopáticos,2018
J065,Anteojos y lentes de contacto e intraoculares,2018
J066,Aparatos para sordera,2018
J067,"Aparatos ortopédicos y para terapia, silla de ruedas, andadera, muletas, etcétera",2018
J068,Reparación y mantenimiento de aparatos ortopédicos,2018
J069,"Otros: pago de enfermeras y personal al cuidado de enfermos, terapias, baumanómetro, glucómetro, tiras reactivas, cómodo, etcétera",2018
J070,Cuotas a hospitales o clínicas,2018
J071,Cuotas a compañías de seguros,2018
J072,Cuotas de seguro popular,2018
