sex,age_grp,util2wFALSE,util2wTRUE,se.util2wFALSE,se.util2wTRUE,wave
female,0-4,0.912535742796251,0.0874642572037494,0.00475559203289425,0.00475559203289425,2018
male,0-4,0.914662813802191,0.0853371861978086,0.00494967975156637,0.00494967975156637,2018
female,5-14,0.951159949729745,0.0488400502702549,0.00250849160451087,0.00250849160451087,2018
male,5-14,0.954723785265723,0.0452762147342772,0.00260832478033974,0.00260832478033974,2018
female,15-29,0.950285415970772,0.0497145840292278,0.0020159322077835,0.0020159322077835,2018
male,15-29,0.967916046835592,0.0320839531644074,0.00180115932865418,0.00180115932865418,2018
female,30-44,0.932932347596899,0.067067652403101,0.00268256113379983,0.00268256113379983,2018
male,30-44,0.963772574912507,0.0362274250874931,0.00213773282949227,0.00213773282949227,2018
female,45-59,0.90095912071179,0.0990408792882101,0.00325187871523447,0.00325187871523447,2018
male,45-59,0.943288715631739,0.0567112843682608,0.00271097045420316,0.00271097045420316,2018
female,60-64,0.874296284829377,0.125703715170623,0.00739323803410332,0.00739323803410332,2018
male,60-64,0.908394842219503,0.0916051577804968,0.00779112532493984,0.00779112532493984,2018
female,65-74,0.848933254859127,0.151066745140873,0.00759682551308151,0.00759682551308151,2018
male,65-74,0.910417121081872,0.0895828789181283,0.00562774836196881,0.00562774836196881,2018
female,75-84,0.852063054191699,0.147936945808301,0.0110250171553623,0.0110250171553623,2018
male,75-84,0.887949372227024,0.112050627772976,0.00909776567813262,0.00909776567813262,2018
female,85+,0.887808239166032,0.112191760833968,0.0157514992981059,0.0157514992981059,2018
male,85+,0.905027190676398,0.0949728093236023,0.014375135824205,0.014375135824205,2018
