sex,age_grp,util3mFALSE,util3mTRUE,se.util3mFALSE,se.util3mTRUE,wave
female,0-4,0.772342357903876,0.227657642096124,0.0212387004297089,0.0212387004297089,2024
male,0-4,0.754010725105414,0.245989274894586,0.021333013014162,0.021333013014162,2024
female,5-14,0.856026723810721,0.143973276189279,0.0108702937159415,0.0108702937159415,2024
male,5-14,0.857281591032745,0.142718408967256,0.0129250765068218,0.0129250765068218,2024
female,15-29,0.847702097354297,0.152297902645703,0.00990910427241893,0.00990910427241893,2024
male,15-29,0.882993725622296,0.117006274377704,0.00893479109641967,0.00893479109641967,2024
female,30-44,0.786031078062319,0.213968921937681,0.0101358421170554,0.0101358421170554,2024
male,30-44,0.86064001381839,0.13935998618161,0.0111172762672919,0.0111172762672919,2024
female,45-59,0.673349828607412,0.326650171392588,0.0157821699095786,0.0157821699095786,2024
male,45-59,0.765245137754943,0.234754862245057,0.0129355286540841,0.0129355286540841,2024
female,60-64,0.561789919123264,0.438210080876736,0.0220876424146715,0.0220876424146715,2024
male,60-64,0.656411756601398,0.343588243398602,0.0257408898968645,0.0257408898968645,2024
female,65-74,0.516132278634125,0.483867721365875,0.0336354288882172,0.0336354288882172,2024
male,65-74,0.652940939364739,0.347059060635261,0.0239145004747446,0.0239145004747446,2024
female,75-84,0.497527659109824,0.502472340890176,0.0330939195261312,0.0330939195261312,2024
male,75-84,0.607119937993878,0.392880062006122,0.0383704071751701,0.0383704071751701,2024
female,85+,0.542476632272531,0.457523367727469,0.046972059993883,0.046972059993883,2024
male,85+,0.625134295748977,0.374865704251024,0.0652949248926727,0.0652949248926727,2024
