year,sex,age_grp,alloc,se.alloc
2018,female,0-4,333.91157336455,17.3795043394239
2018,male,0-4,346.287227522589,20.6686276219342
2018,female,15-29,238.538550828625,11.4147494237444
2018,male,15-29,150.423466320581,6.93828729380267
2018,female,30-44,311.621548309925,11.8239547349906
2018,male,30-44,187.338933514333,7.21389496791763
2018,female,45-59,560.089570854838,24.9024813750327
2018,male,45-59,282.697409301296,12.3011431724721
2018,female,5-14,177.842402417657,12.1194298887879
2018,male,5-14,158.243543564758,6.42297493926515
2018,female,60-64,754.793254259135,52.2286484668142
2018,male,60-64,519.909767726849,38.9767402942605
2018,female,65-74,900.589941037732,94.943007144884
2018,male,65-74,600.822283371297,55.2002301520994
2018,female,75-84,774.951769482159,72.1072223689881
2018,male,75-84,661.639247619322,110.235149795027
2018,female,85+,778.9478573638,122.708036935354
2018,male,85+,528.037679431894,69.1322439708981
2020,female,0-4,462.464778249241,22.0988903671002
2020,male,0-4,440.772115847087,18.2111383359972
2020,female,15-29,324.852778092193,10.7127296078904
2020,male,15-29,222.186253703522,10.0061901150482
2020,female,30-44,480.530369154467,19.1478333841035
2020,male,30-44,289.949869722728,19.3832892386059
2020,female,45-59,761.301872941176,25.5725809229775
2020,male,45-59,442.758438819563,17.5291116679915
2020,female,5-14,240.09522994762,9.93315078252541
2020,male,5-14,233.139751835446,7.52281987094962
2020,female,60-64,879.74013153529,55.8722613717162
2020,male,60-64,682.028150960146,39.216269573934
2020,female,65-74,1165.19844981821,78.1517404136655
2020,male,65-74,684.509205630606,36.7490911956724
2020,female,75-84,1168.52919539692,82.4485622995242
2020,male,75-84,873.783281962905,79.2561345385244
2020,female,85+,935.698894939705,88.27117709024
2020,male,85+,920.209396351332,132.936506021762
2022,female,0-4,495.925756620664,99.8302636780556
2022,male,0-4,414.924527924758,23.8131759670179
2022,female,15-29,283.486671015637,10.1751341729126
2022,male,15-29,211.89469605807,9.68341620360776
2022,female,30-44,422.132688904198,30.0123408838765
2022,male,30-44,281.943675306119,21.4192196041673
2022,female,45-59,629.135085281881,23.2036183801927
2022,male,45-59,443.579951384148,17.4036488029404
2022,female,5-14,202.189827139746,7.65945969065581
2022,male,5-14,202.572829118807,8.15189824983848
2022,female,60-64,929.504960168565,75.1299780533623
2022,male,60-64,710.072155094769,53.4034359010558
2022,female,65-74,1066.5419925085,55.7808641659038
2022,male,65-74,830.558604274956,56.3492659160786
2022,female,75-84,1236.66248147979,99.9351359882151
2022,male,75-84,908.058255873697,75.2864290138051
2022,female,85+,1118.59789059864,154.477633260236
2022,male,85+,1045.61188544906,144.545800131174
2024,female,0-4,404.903199399509,27.2250581544469
2024,male,0-4,432.279433766658,23.2271538123596
2024,female,15-29,294.576185305082,9.46404759687812
2024,male,15-29,227.877670707903,7.52115548986111
2024,female,30-44,453.241728882141,13.4757624516057
2024,male,30-44,342.355252179006,13.2834895705276
2024,female,45-59,697.408629752558,19.7744649020975
2024,male,45-59,504.723441918993,18.2431600793518
2024,female,5-14,204.150941088686,6.78176708015128
2024,male,5-14,217.502904444902,8.00752829171557
2024,female,60-64,915.63770973478,42.2570766235068
2024,male,60-64,788.424559195395,50.68688158625
2024,female,65-74,1240.93143851292,82.6565780375576
2024,male,65-74,908.216417937419,81.2881398821165
2024,female,75-84,1501.17621419221,131.630105289094
2024,male,75-84,1099.00027825803,102.668240819982
2024,female,85+,1403.27716537526,201.376498856567
2024,male,85+,1481.96012077353,271.033350654392
